Participant 240_training	; Experiment run on 2017-10-05T13:33:10.936264
Trial	Input	Output	Predict	Error	RT
1	107	25	110	85	9959
2	91	30	10	20	4380
3	83	47	20	27	8433
4	111	34	20	14	7424
5	93	25	25	0	9085
6	117	47	50	3	5446
7	87	39	70	31	11409
8	105	21	20	1	7930
9	95	21	30	9	15324
10	109	30	20	10	7792
11	85	43	50	7	24416
12	101	12	40	28	9967
13	97	17	20	3	5050
14	115	43	30	13	5221
15	81	52	70	18	8514
16	119	52	14	38	8201
17	89	34	40	6	7200
18	103	17	30	13	13554
19	99	12	24	12	11031
20	113	39	50	11	3157
21	81	52	80	28	4967
22	99	12	70	58	4573
23	83	47	10	37	5400
24	93	25	53	28	5755
25	101	12	10	2	11655
26	105	21	10	11	5325
27	85	43	10	33	13351
28	119	52	50	2	8450
29	117	47	44	3	10063
30	115	43	30	13	6776
31	111	34	20	14	3177
32	103	17	12	5	4066
33	91	30	30	0	11058
34	97	17	27	10	16656
35	113	39	30	9	13258
36	87	39	37	2	7073
37	95	21	20	1	4357
38	107	25	18	7	8665
39	109	30	20	10	5769
40	89	34	25	9	5324
41	101	12	60	48	3991
42	93	25	30	5	9369
43	91	30	25	5	9234
44	99	12	13	1	5336
45	103	17	21	4	10530
46	115	43	41	2	9183
47	81	52	60	8	13320
48	119	52	40	12	11525
49	97	17	12	5	4543
50	107	25	30	5	8745
51	85	43	35	8	11899
52	105	21	30	9	4076
53	111	34	30	4	11415
54	109	30	32	2	6153
55	89	34	25	9	6263
56	113	39	40	1	7079
57	117	47	80	33	12620
58	95	21	20	1	3783
59	83	47	47	0	12612
60	87	39	32	7	9337
61	83	47	50	3	11480
62	99	12	10	2	6224
63	107	25	30	5	3768
64	85	43	30	13	7707
65	103	17	13	4	8887
66	113	39	20	19	28891
67	97	17	33	16	8151
68	111	34	25	9	5209
69	119	52	40	12	12691
70	95	21	20	1	7380
71	101	12	20	8	3208
72	91	30	30	0	6571
73	117	47	50	3	12839
74	93	25	30	5	3814
75	87	39	30	9	3544
76	115	43	30	13	10683
77	89	34	30	4	5396
78	109	30	40	10	4170
79	81	52	50	2	8375
80	105	21	23	2	7396
81	107	25	30	5	3528
82	97	17	12	5	3597
83	91	30	40	10	3397
84	117	47	27	20	10520
85	101	12	16	4	9893
86	85	43	50	7	5823
87	119	52	40	12	5670
88	105	21	40	19	13094
89	99	12	18	6	5802
90	93	25	30	5	2773
91	103	17	70	53	8687
92	111	34	12	22	18975
93	113	39	30	9	3631
94	89	34	20	14	6332
