Participant 238_training	; Experiment run on 2017-10-05T15:51:23.542847
Trial	Input	Output	Predict	Error	RT
1	107	25	200	175	5253
2	91	30	130	100	4672
3	83	47	32	15	5695
4	111	34	10	24	2410
5	93	25	24	1	3236
6	117	47	12	35	2919
7	87	39	28	11	5487
8	105	21	23	2	4031
9	95	21	16	5	7785
10	109	30	25	5	9053
11	85	43	20	23	3710
12	101	12	30	18	9093
13	97	17	24	7	18241
14	115	43	10	33	3704
15	81	52	30	22	3738
16	119	52	33	19	3202
17	89	34	22	12	6422
18	103	17	32	15	5525
19	99	12	32	20	3095
20	113	39	32	7	2892
21	81	52	22	30	4715
22	99	12	50	38	2303
23	83	47	25	22	4260
24	93	25	37	12	4629
25	101	12	35	23	3289
26	105	21	50	29	3271
27	85	43	40	3	4405
28	119	52	60	8	3348
29	117	47	60	13	2894
30	115	43	49	6	2750
31	111	34	51	17	3152
32	103	17	40	23	2392
33	91	30	43	13	3178
34	97	17	60	43	2479
35	113	39	60	21	1884
36	87	39	20	19	1670
37	95	21	50	29	1564
38	107	25	46	21	3930
39	109	30	38	8	3227
40	89	34	22	12	2539
41	101	12	31	19	3796
42	93	25	22	3	2265
43	91	30	21	9	2750
44	99	12	30	18	1988
45	103	17	29	12	2598
46	115	43	47	4	2918
47	81	52	19	33	2386
48	119	52	32	20	2526
49	97	17	40	23	3448
50	107	25	33	8	2718
51	85	43	23	20	2964
52	105	21	50	29	2251
53	111	34	40	6	1737
54	109	30	40	10	2052
55	89	34	32	2	3446
56	113	39	51	12	2000
57	117	47	45	2	2780
58	95	21	35	14	3981
59	83	47	31	16	1996
60	87	39	47	8	2657
61	83	47	20	27	8068
62	99	12	38	26	2709
63	107	25	20	5	1520
64	85	43	30	13	2772
65	103	17	10	7	1259
66	113	39	10	29	1650
67	97	17	20	3	1633
68	111	34	20	14	1690
69	119	52	10	42	1290
70	95	21	22	1	3652
71	101	12	20	8	2273
72	91	30	16	14	3598
73	117	47	18	29	2635
74	93	25	38	13	3619
75	87	39	22	17	3309
76	115	43	13	30	3202
77	89	34	37	3	5325
78	109	30	23	7	3523
79	81	52	19	33	6925
80	105	21	31	10	2621
81	107	25	30	5	2045
82	97	17	22	5	2235
83	91	30	13	17	2611
84	117	47	29	18	2730
85	101	12	22	10	2070
86	85	43	21	22	5729
87	119	52	38	14	2327
88	105	21	28	7	3166
89	99	12	28	16	3360
90	93	25	18	7	3043
91	103	17	22	5	2836
92	111	34	18	16	2574
93	113	39	13	26	3085
94	89	34	32	2	2153
95	87	39	22	17	3327
96	83	47	19	28	1671
97	109	30	48	18	1861
98	115	43	42	1	3468
99	95	21	28	7	2689
100	81	52	38	14	1892
101	93	25	29	4	2884
102	109	30	28	2	1974
103	119	52	38	14	2791
104	105	21	38	17	1640
105	87	39	18	21	1992
106	97	17	41	24	2407
107	83	47	18	29	2032
108	107	25	33	8	3339
109	113	39	42	3	3530
110	117	47	57	10	2434
111	103	17	53	36	2528
112	115	43	48	5	2041
113	95	21	38	17	4504
114	91	30	28	2	2505
115	111	34	40	6	1950
116	81	52	21	31	3443
117	101	12	53	41	3099
118	85	43	39	4	1714
119	99	12	39	27	1689
120	89	34	22	12	2590
121	111	34	32	2	2292
122	119	52	50	2	2143
123	85	43	20	23	1747
124	81	52	32	20	2625
125	95	21	57	36	2718
126	107	25	23	2	2297
127	117	47	42	5	2682
128	101	12	32	20	2132
129	115	43	52	9	2796
130	89	34	42	8	2495
131	93	25	47	22	4275
132	83	47	31	16	2694
133	113	39	29	10	2422
134	105	21	22	1	2557
135	109	30	38	8	4563
136	97	17	40	23	3812
137	91	30	20	10	2036
138	103	17	32	15	3011
139	87	39	31	8	4758
140	99	12	47	35	2017
141	103	17	22	5	2116
142	91	30	18	12	1954
143	107	25	33	8	2098
144	87	39	23	16	1983
145	89	34	40	6	2129
146	113	39	42	3	3209
147	119	52	50	2	1494
148	105	21	50	29	2010
149	83	47	32	15	2851
150	111	34	70	36	2027
151	109	30	31	1	2037
152	95	21	20	1	2040
153	117	47	40	7	2151
154	85	43	20	23	1368
155	101	12	30	18	1651
156	93	25	20	5	988
157	115	43	40	3	1751
158	99	12	20	8	1598
159	81	52	10	42	1392
160	97	17	30	13	1531
161	91	30	20	10	1541
162	93	25	30	5	1533
163	107	25	40	15	1941
164	99	12	20	8	1562
165	89	34	20	14	960
166	113	39	40	1	1743
167	85	43	20	23	1416
168	83	47	30	17	1615
169	97	17	40	23	1683
170	105	21	30	9	1407
171	103	17	40	23	3991
172	109	30	32	2	2031
173	87	39	21	18	2008
174	95	21	30	9	1836
175	119	52	52	0	3429
176	81	52	20	32	1777
177	101	12	30	18	1445
178	115	43	40	3	1736
179	111	34	30	4	2636
180	117	47	32	15	1919
181	107	25	40	15	1301
182	109	30	22	8	1866
183	95	21	19	2	2358
184	91	30	21	9	1383
185	81	52	22	30	2446
186	113	39	30	9	1623
187	99	12	33	21	3165
188	85	43	18	25	1757
189	115	43	33	10	3320
190	119	52	32	20	2883
191	87	39	27	12	2390
192	117	47	59	12	2266
193	103	17	33	16	2744
194	93	25	22	3	2054
195	83	47	22	25	2000
196	97	17	47	30	4690
197	89	34	22	12	1747
198	105	21	42	21	2417
199	101	12	32	20	2325
200	111	34	42	8	3129
1	53	113	20	93	6727
2	79	56	23	33	3324
3	137	91	57	34	4208
4	133	83	42	41	3415
5	141	100	53	47	3237
6	114	41	51	10	4259
7	73	69	18	51	4547
8	51	118	10	108	1476
9	125	65	58	7	2096
10	100	10	16	6	3699
11	143	105	44	61	3496
12	75	65	23	42	2878
13	84	45	22	23	1929
14	61	96	12	84	2514
15	127	69	54	15	3467
16	65	87	18	69	2421
17	57	105	17	88	2474
18	71	74	22	52	2209
19	135	87	52	35	3372
20	67	83	8	75	2298
21	108	28	42	14	2750
22	145	109	52	57	2149
23	59	100	18	82	3243
24	69	78	22	56	2752
25	120	54	43	11	3942
26	77	61	22	39	2042
27	149	118	48	70	2033
28	55	109	18	91	2736
29	139	96	22	74	2315
30	129	74	53	21	2945
31	123	61	30	31	1859
32	131	78	43	35	4312
33	63	91	20	71	1654
34	147	113	43	70	1936
35	121	56	28	28	2539
36	92	28	22	6	1795
