Participant 259_training	; Experiment run on 2017-12-07T13:40:55.473884
Trial	Input	Output	Predict	Error	RT
1	107	25	105	80	17307
2	91	30	25	5	38236
3	83	47	20	27	30371
4	111	34	80	46	21319
5	93	25	35	10	20305
6	117	47	60	13	21599
7	87	39	45	6	12197
8	105	21	52	31	14827
9	95	21	40	19	15179
10	109	30	55	25	22625
11	85	43	30	13	8803
12	101	12	45	33	17996
13	97	17	15	2	21037
14	115	43	16	27	18516
15	81	52	20	32	20662
16	119	52	28	24	13812
17	89	34	30	4	30781
18	103	17	27	10	13219
19	99	12	13	1	9208
20	113	39	9	30	13578
21	81	52	22	30	21485
22	99	12	10	2	6736
23	83	47	27	20	16687
24	93	25	30	5	8282
25	101	12	12	0	5812
26	105	21	18	3	23193
27	85	43	33	10	13445
28	119	52	30	22	12533
29	117	47	47	0	10996
30	115	43	55	12	20977
31	111	34	40	6	11151
32	103	17	34	17	10707
33	91	30	22	8	14451
34	97	17	35	18	8353
35	113	39	42	3	21022
36	87	39	17	22	11123
37	95	21	32	11	15918
38	107	25	15	10	16076
39	109	30	35	5	17809
40	89	34	45	11	14096
41	101	12	12	0	6043
42	93	25	25	0	7598
43	91	30	40	10	11248
44	99	12	12	0	6175
45	103	17	25	8	9739
46	115	43	28	15	14334
47	81	52	45	7	16940
48	119	52	28	24	32786
49	97	17	12	5	8725
50	107	25	53	28	12306
51	85	43	50	7	8438
52	105	21	25	4	12221
53	111	34	42	8	10122
54	109	30	33	3	15708
55	89	34	42	8	15207
56	113	39	49	10	9320
57	117	47	42	5	29876
58	95	21	33	12	8648
59	83	47	34	13	12204
60	87	39	41	2	11430
61	83	47	30	17	6484
62	99	12	12	0	6786
63	107	25	32	7	13871
64	85	43	35	8	7619
65	103	17	14	3	14138
66	113	39	25	14	13004
67	97	17	13	4	9093
68	111	34	30	4	11638
69	119	52	50	2	8695
70	95	21	35	14	12919
71	101	12	12	0	3765
72	91	30	30	0	5681
73	117	47	45	2	9555
74	93	25	35	10	8326
75	87	39	36	3	16089
76	115	43	55	12	15187
77	89	34	30	4	6223
78	109	30	27	3	11540
79	81	52	45	7	10675
80	105	21	25	4	13199
81	107	25	36	11	15220
82	97	17	16	1	15054
83	91	30	30	0	2844
84	117	47	35	12	8199
85	101	12	13	1	6453
86	85	43	48	5	12070
87	119	52	25	27	8656
88	105	21	24	3	7357
89	99	12	11	1	5147
90	93	25	29	4	10422
91	103	17	21	4	8892
92	111	34	35	1	11724
93	113	39	37	2	11013
94	89	34	30	4	3254
95	87	39	38	1	7823
96	83	47	45	2	5021
97	109	30	15	15	9732
98	115	43	25	18	7085
99	95	21	25	4	13822
100	81	52	47	5	6019
101	93	25	15	10	7805
102	109	30	35	5	6159
103	119	52	43	9	5380
104	105	21	40	19	11291
105	87	39	35	4	5529
106	97	17	17	0	13824
107	83	47	48	1	8352
108	107	25	35	10	12294
109	113	39	25	14	19765
110	117	47	43	4	6057
111	103	17	25	8	9955
112	115	43	36	7	10931
113	95	21	22	1	10527
114	91	30	30	0	3009
115	111	34	43	9	7073
116	81	52	53	1	4192
117	101	12	12	0	3293
118	85	43	36	7	8863
119	99	12	12	0	4126
120	89	34	30	4	3409
121	111	34	45	11	7245
122	119	52	44	8	6864
123	85	43	40	3	8213
124	81	52	52	0	5311
125	95	21	15	6	6823
126	107	25	42	17	6516
127	117	47	36	11	8984
128	101	12	12	0	3433
129	115	43	25	18	6776
130	89	34	30	4	2934
131	93	25	30	5	9088
132	83	47	46	1	10925
133	113	39	43	4	14157
134	105	21	35	14	8158
135	109	30	35	5	10488
136	97	17	20	3	23268
137	91	30	34	4	3386
138	103	17	25	8	7714
139	87	39	34	5	15193
140	99	12	12	0	7364
141	103	17	20	3	20348
142	91	30	30	0	4038
143	107	25	43	18	9539
144	87	39	35	4	8546
145	89	34	30	4	2460
146	113	39	16	23	5253
147	119	52	55	3	4483
148	105	21	35	14	4243
149	83	47	43	4	13317
150	111	34	45	11	10455
151	109	30	35	5	5027
152	95	21	15	6	13681
153	117	47	53	6	9675
154	85	43	45	2	10308
155	101	12	12	0	2802
156	93	25	15	10	8844
157	115	43	35	8	12093
158	99	12	12	0	4216
159	81	52	53	1	7926
160	97	17	25	8	9992
161	91	30	30	0	2844
162	93	25	14	11	24085
163	107	25	32	7	6966
164	99	12	12	0	2761
165	89	34	30	4	2235
166	113	39	35	4	6037
167	85	43	44	1	6775
168	83	47	44	3	6110
169	97	17	15	2	7373
170	105	21	20	1	4549
171	103	17	19	2	5757
172	109	30	30	0	3177
173	87	39	38	1	10518
174	95	21	27	6	16411
175	119	52	53	1	10925
176	81	52	53	1	5805
177	101	12	12	0	2565
178	115	43	45	2	7990
179	111	34	25	9	10236
180	117	47	20	27	14351
181	107	25	25	0	12596
182	109	30	14	16	7457
183	95	21	35	14	8379
184	91	30	30	0	2753
185	81	52	54	2	6750
186	113	39	35	4	10027
187	99	12	12	0	2758
188	85	43	54	11	9394
189	115	43	47	4	8129
190	119	52	57	5	5728
191	87	39	34	5	5363
192	117	47	40	7	13322
193	103	17	20	3	5045
194	93	25	25	0	10733
195	83	47	45	2	13374
196	97	17	22	5	6094
197	89	34	34	0	4335
198	105	21	35	14	11407
199	101	12	12	0	4288
200	111	34	35	1	6009
1	53	113	9	104	18144
2	79	56	52	4	8103
3	137	91	37	54	17009
4	133	83	43	40	9670
5	141	100	45	55	15527
6	114	41	20	21	15559
7	73	69	55	14	12570
8	51	118	8	110	15341
9	125	65	40	25	7205
10	100	10	12	2	3799
11	143	105	35	70	17071
12	75	65	46	19	12220
13	84	45	40	5	4997
14	61	96	30	66	13610
15	127	69	42	27	14690
16	65	87	18	69	5460
17	57	105	30	75	32660
18	71	74	56	18	16238
19	135	87	15	72	33786
20	67	83	15	68	5444
21	108	28	15	13	6506
22	145	109	35	74	29616
23	59	100	16	84	18106
24	69	78	40	38	8316
25	120	54	30	24	5273
26	77	61	57	4	7370
27	149	118	35	83	18172
28	55	109	32	77	13718
29	139	96	34	62	13259
30	129	74	45	29	10007
31	123	61	48	13	11059
32	131	78	40	38	6651
33	63	91	25	66	37588
34	147	113	31	82	18250
35	121	56	53	3	7565
36	92	28	26	2	7648
