Participant 257_training	; Experiment run on 2017-11-16T15:25:36.352761
Trial	Input	Output	Predict	Error	RT
1	107	25	106	81	11913
2	91	30	23	7	4438
3	83	47	34	13	8582
4	111	34	55	21	15993
5	93	25	31	6	8807
6	117	47	36	11	18974
7	87	39	25	14	11239
8	105	21	30	9	7082
9	95	21	22	1	5154
10	109	30	25	5	5732
11	85	43	20	23	15617
12	101	12	30	18	3849
13	97	17	12	5	10452
14	115	43	35	8	10510
15	81	52	20	32	4290
16	119	52	40	12	17282
17	89	34	26	8	7536
18	103	17	15	2	4387
19	99	12	11	1	5647
20	113	39	30	9	6184
21	81	52	20	32	7755
22	99	12	12	0	3544
23	83	47	50	3	4347
24	93	25	40	15	7128
25	101	12	12	0	5227
26	105	21	16	5	6355
27	85	43	47	4	7149
28	119	52	40	12	16050
29	117	47	51	4	5035
30	115	43	43	0	5397
31	111	34	38	4	7410
32	103	17	13	4	8849
33	91	30	26	4	5208
34	97	17	23	6	12201
35	113	39	25	14	12834
36	87	39	30	9	8602
37	95	21	16	5	3210
38	107	25	20	5	6268
39	109	30	31	1	5120
40	89	34	30	4	4588
41	101	12	11	1	4884
42	93	25	20	5	9560
43	91	30	32	2	4938
44	99	12	12	0	2723
45	103	17	14	3	4573
46	115	43	37	6	8760
47	81	52	41	11	8201
48	119	52	60	8	5504
49	97	17	17	0	4944
50	107	25	23	2	3869
51	85	43	34	9	7252
52	105	21	21	0	6890
53	111	34	36	2	4228
54	109	30	31	1	5185
55	89	34	30	4	5122
56	113	39	40	1	3503
57	117	47	50	3	5639
58	95	21	20	1	6163
59	83	47	40	7	9123
60	87	39	42	3	3087
61	83	47	40	7	9589
62	99	12	12	0	1793
63	107	25	27	2	5961
64	85	43	40	3	8421
65	103	17	14	3	4246
66	113	39	46	7	10809
67	97	17	15	2	12145
68	111	34	30	4	6974
69	119	52	50	2	7841
70	95	21	15	6	12700
71	101	12	12	0	3082
72	91	30	20	10	7636
73	117	47	43	4	11584
74	93	25	20	5	9069
75	87	39	40	1	18778
76	115	43	46	3	6623
77	89	34	30	4	2993
78	109	30	37	7	4518
79	81	52	50	2	4093
80	105	21	20	1	3493
81	107	25	24	1	11275
82	97	17	17	0	6347
83	91	30	30	0	3132
84	117	47	42	5	7462
85	101	12	12	0	6347
86	85	43	43	0	9679
87	119	52	52	0	5159
88	105	21	20	1	3537
89	99	12	12	0	1941
90	93	25	23	2	4952
91	103	17	15	2	9255
92	111	34	38	4	6715
93	113	39	42	3	8742
94	89	34	30	4	3032
95	87	39	41	2	4971
96	83	47	53	6	6163
97	109	30	30	0	3988
98	115	43	40	3	7075
99	95	21	20	1	9700
100	81	52	48	4	7169
101	93	25	23	2	10195
102	109	30	30	0	10916
103	119	52	48	4	4416
104	105	21	20	1	3648
105	87	39	34	5	41586
106	97	17	13	4	9237
107	83	47	48	1	7096
108	107	25	22	3	4042
109	113	39	35	4	12122
110	117	47	40	7	4081
111	103	17	13	4	6946
112	115	43	40	3	15853
113	95	21	20	1	3533
114	91	30	30	0	2630
115	111	34	40	6	2308
116	81	52	44	8	4690
117	101	12	12	0	2185
118	85	43	40	3	6013
119	99	12	12	0	6978
120	89	34	32	2	5176
121	111	34	34	0	4532
122	119	52	51	1	4544
123	85	43	44	1	7987
124	81	52	52	0	4971
125	95	21	20	1	4361
126	107	25	28	3	8558
127	117	47	42	5	6185
128	101	12	12	0	4318
129	115	43	44	1	5504
130	89	34	30	4	3103
131	93	25	25	0	8382
132	83	47	45	2	11779
133	113	39	42	3	9345
134	105	21	20	1	4104
135	109	30	30	0	2893
136	97	17	15	2	8258
137	91	30	28	2	3793
138	103	17	18	1	10308
139	87	39	38	1	10905
140	99	12	12	0	3432
141	103	17	15	2	10004
142	91	30	30	0	4402
143	107	25	25	0	11838
144	87	39	36	3	19850
145	89	34	30	4	2747
146	113	39	43	4	11720
147	119	52	50	2	4629
148	105	21	20	1	9255
149	83	47	47	0	15214
150	111	34	33	1	4110
151	109	30	30	0	1432
152	95	21	21	0	3334
153	117	47	47	0	8209
154	85	43	45	2	7169
155	101	12	12	0	2314
156	93	25	25	0	5276
157	115	43	46	3	11692
158	99	12	12	0	2261
159	81	52	52	0	4548
160	97	17	15	2	10164
161	91	30	30	0	3597
162	93	25	25	0	7861
163	107	25	25	0	6389
164	99	12	12	0	1607
165	89	34	32	2	5963
166	113	39	39	0	11854
167	85	43	43	0	7337
168	83	47	50	3	8502
169	97	17	16	1	7222
170	105	21	20	1	3579
171	103	17	17	0	12498
172	109	30	29	1	7035
173	87	39	38	1	9464
174	95	21	21	0	8365
175	119	52	52	0	7191
176	81	52	48	4	12445
177	101	12	12	0	2864
178	115	43	43	0	5546
179	111	34	30	4	4158
180	117	47	46	1	15404
181	107	25	25	0	8836
182	109	30	30	0	2936
183	95	21	21	0	3218
184	91	30	30	0	2760
185	81	52	52	0	5208
186	113	39	43	4	14780
187	99	12	12	0	1892
188	85	43	43	0	6485
189	115	43	43	0	9214
190	119	52	52	0	3603
191	87	39	39	0	6461
192	117	47	47	0	9145
193	103	17	15	2	17549
194	93	25	25	0	7530
195	83	47	47	0	14809
196	97	17	17	0	5565
197	89	34	30	4	1961
198	105	21	21	0	5747
199	101	12	12	0	2241
200	111	34	30	4	3052
1	53	113	70	43	66535
2	79	56	56	0	15472
3	137	91	70	21	27518
4	133	83	65	18	15195
5	141	100	72	28	5989
6	114	41	43	2	34546
7	73	69	62	7	10481
8	51	118	84	34	23826
9	125	65	56	9	30491
10	100	10	12	2	2077
11	143	105	70	35	38119
12	75	65	55	10	11576
13	84	45	47	2	22473
14	61	96	70	26	10901
15	127	69	57	12	12239
16	65	87	63	24	29276
17	57	105	72	33	27383
18	71	74	60	14	4423
19	135	87	75	12	28776
20	67	83	75	8	15886
21	108	28	25	3	11259
22	145	109	85	24	18629
23	59	100	80	20	8822
24	69	78	70	8	7128
25	120	54	52	2	5310
26	77	61	62	1	13356
27	149	118	90	28	19785
28	55	109	85	24	13132
29	139	96	70	26	3246
30	129	74	70	4	9431
31	123	61	60	1	4418
32	131	78	75	3	11113
33	63	91	75	16	23641
34	147	113	85	28	15132
35	121	56	52	4	11440
36	92	28	25	3	9241
