Participant 229_training	; Experiment run on 2017-09-28T13:38:41.210081
Trial	Input	Output	Predict	Error	RT
1	107	25	1	24	17261
2	91	30	15	15	18140
3	83	47	46	1	43238
4	111	34	18	16	12340
5	93	25	38	13	18714
6	117	47	3	44	17801
7	87	39	27	12	13135
8	105	21	25	4	8335
9	95	21	16	5	10934
10	109	30	24	6	15552
11	85	43	20	23	21314
12	101	12	50	38	4807
13	97	17	20	3	15776
14	115	43	57	14	7487
15	81	52	10	42	5394
16	119	52	10	42	3248
17	89	34	40	6	3787
18	103	17	26	9	8136
19	99	12	26	14	6770
20	113	39	13	26	24083
21	81	52	50	2	6625
22	99	12	30	18	12246
23	83	47	48	1	4949
24	93	25	20	5	8438
25	101	12	20	8	3916
26	105	21	20	1	2392
27	85	43	45	2	6036
28	119	52	40	12	4633
29	117	47	45	2	7073
30	115	43	45	2	6934
31	111	34	25	9	9384
32	103	17	25	8	4329
33	91	30	30	0	4797
34	97	17	35	18	8989
35	113	39	25	14	9540
36	87	39	46	7	6981
37	95	21	30	9	3318
38	107	25	30	5	19459
39	109	30	25	5	5210
40	89	34	40	6	4212
41	101	12	30	18	8024
42	93	25	40	15	14508
43	91	30	30	0	1837
44	99	12	20	8	5530
45	103	17	20	3	11438
46	115	43	40	3	4378
47	81	52	50	2	2700
48	119	52	10	42	3407
49	97	17	40	23	8435
50	107	25	36	11	5776
51	85	43	46	3	7036
52	105	21	25	4	5655
53	111	34	20	14	6472
54	109	30	30	0	2021
55	89	34	30	4	4430
56	113	39	30	9	4098
57	117	47	40	7	2730
58	95	21	40	19	10099
59	83	47	50	3	4469
60	87	39	45	6	6586
61	83	47	50	3	4896
62	99	12	20	8	5213
63	107	25	30	5	21533
64	85	43	40	3	6853
65	103	17	12	5	19614
66	113	39	32	7	3772
67	97	17	33	16	6664
68	111	34	30	4	5608
69	119	52	40	12	5013
70	95	21	25	4	30472
71	101	12	12	0	3968
72	91	30	31	1	6556
73	117	47	25	22	8992
74	93	25	38	13	14316
75	87	39	36	3	7320
76	115	43	40	3	7894
77	89	34	30	4	1978
78	109	30	10	20	15960
79	81	52	48	4	5909
80	105	21	40	19	5909
81	107	25	40	15	8384
82	97	17	30	13	5938
83	91	30	32	2	3463
84	117	47	34	13	13070
85	101	12	10	2	6396
86	85	43	40	3	16736
87	119	52	44	8	6498
88	105	21	25	4	4060
89	99	12	10	2	2061
90	93	25	33	8	9208
91	103	17	20	3	8435
92	111	34	30	4	3975
93	113	39	42	3	9914
94	89	34	28	6	4858
95	87	39	40	1	7758
96	83	47	50	3	4344
97	109	30	30	0	5183
98	115	43	25	18	7592
99	95	21	20	1	5485
100	81	52	50	2	2570
101	93	25	20	5	7239
102	109	30	30	0	24435
103	119	52	50	2	4552
104	105	21	30	9	34583
105	87	39	40	1	8092
106	97	17	25	8	7248
107	83	47	50	3	4538
108	107	25	30	5	10106
109	113	39	40	1	10942
110	117	47	50	3	8655
111	103	17	10	7	11497
112	115	43	50	7	5472
113	95	21	20	1	6338
114	91	30	30	0	2720
115	111	34	30	4	3673
116	81	52	50	2	2424
117	101	12	10	2	2768
118	85	43	40	3	7851
119	99	12	10	2	1915
120	89	34	30	4	1945
121	111	34	30	4	9448
122	119	52	50	2	6597
123	85	43	40	3	3274
124	81	52	50	2	2775
125	95	21	20	1	3952
126	107	25	30	5	8259
127	117	47	40	7	6769
128	101	12	10	2	2869
129	115	43	40	3	4220
130	89	34	30	4	1834
131	93	25	30	5	2198
132	83	47	45	2	10077
133	113	39	35	4	7295
134	105	21	24	3	14680
135	109	30	30	0	1775
136	97	17	20	3	4477
137	91	30	30	0	1675
138	103	17	20	3	8078
139	87	39	40	1	3276
140	99	12	10	2	1717
141	103	17	14	3	10336
142	91	30	30	0	1738
143	107	25	20	5	8227
144	87	39	40	1	3602
145	89	34	30	4	2043
146	113	39	33	6	7371
147	119	52	50	2	5421
148	105	21	20	1	6293
149	83	47	50	3	7760
150	111	34	30	4	2203
151	109	30	30	0	1815
152	95	21	20	1	4303
153	117	47	50	3	9734
154	85	43	40	3	2890
155	101	12	10	2	1748
156	93	25	30	5	3694
157	115	43	42	1	16050
158	99	12	10	2	2329
159	81	52	50	2	2252
160	97	17	17	0	6934
161	91	30	30	0	2511
162	93	25	27	2	3531
163	107	25	23	2	7245
164	99	12	10	2	1634
165	89	34	30	4	1796
166	113	39	40	1	7558
167	85	43	40	3	4260
168	83	47	43	4	3990
169	97	17	20	3	4502
170	105	21	20	1	7384
171	103	17	20	3	4260
172	109	30	30	0	2403
173	87	39	40	1	7541
174	95	21	20	1	5974
175	119	52	50	2	3363
176	81	52	50	2	3032
177	101	12	10	2	1529
178	115	43	46	3	10158
179	111	34	30	4	5172
180	117	47	40	7	4638
181	107	25	22	3	20711
182	109	30	30	0	1953
183	95	21	20	1	3776
184	91	30	30	0	1913
185	81	52	50	2	3041
186	113	39	40	1	11262
187	99	12	10	2	1973
188	85	43	40	3	4540
189	115	43	50	7	7164
190	119	52	50	2	4758
191	87	39	32	7	5019
192	117	47	44	3	10427
193	103	17	20	3	3766
194	93	25	20	5	4521
195	83	47	50	3	5612
196	97	17	20	3	3430
197	89	34	30	4	2534
198	105	21	20	1	3123
199	101	12	10	2	1406
200	111	34	30	4	2154
1	53	113	80	33	20402
2	79	56	50	6	4218
3	137	91	60	31	18726
4	133	83	60	23	3422
5	141	100	70	30	3288
6	114	41	40	1	11959
7	73	69	50	19	7027
8	51	118	80	38	3389
9	125	65	60	5	6232
10	100	10	10	0	2080
11	143	105	70	35	3117
12	75	65	60	5	4981
13	84	45	40	5	4718
14	61	96	70	26	10869
15	127	69	60	9	6774
16	65	87	60	27	12724
17	57	105	70	35	5000
18	71	74	60	14	5943
19	135	87	70	17	4014
20	67	83	60	23	9290
21	108	28	30	2	5941
22	145	109	80	29	5385
23	59	100	70	30	5164
24	69	78	60	18	5598
25	120	54	50	4	3285
26	77	61	55	6	6084
27	149	118	80	38	5750
28	55	109	80	29	12894
29	139	96	70	26	2683
30	129	74	60	14	5833
31	123	61	54	7	3488
32	131	78	60	18	3320
33	63	91	70	21	4232
34	147	113	80	33	3174
35	121	56	50	6	3059
36	92	28	30	2	1675
