Participant 217_training	; Experiment run on 2017-09-14T14:10:30.896812
Trial	Input	Output	Predict	Error	RT
1	107	25	107	82	11844
2	91	30	40	10	19105
3	83	47	23	24	24373
4	111	34	82	48	11640
5	93	25	13	12	26397
6	117	47	40	7	22539
7	87	39	33	6	11443
8	105	21	40	19	10685
9	95	21	20	1	9093
10	109	30	22	8	6475
11	85	43	20	23	5662
12	101	12	34	22	4944
13	97	17	28	11	16423
14	115	43	30	13	4058
15	81	52	22	30	10314
16	119	52	11	41	14068
17	89	34	42	8	12605
18	103	17	51	34	8601
19	99	12	12	0	6431
20	113	39	13	26	3036
21	81	52	17	35	19307
22	99	12	60	48	19191
23	83	47	50	3	13809
24	93	25	40	15	8121
25	101	12	20	8	5155
26	105	21	13	8	2836
27	85	43	50	7	6440
28	119	52	44	8	4018
29	117	47	30	17	7516
30	115	43	46	3	6745
31	111	34	30	4	5447
32	103	17	22	5	3566
33	91	30	22	8	6406
34	97	17	34	17	5805
35	113	39	31	8	14527
36	87	39	50	11	14339
37	95	21	25	4	14118
38	107	25	31	6	6657
39	109	30	30	0	4233
40	89	34	22	12	6873
41	101	12	25	13	7251
42	93	25	50	25	20116
43	91	30	24	6	5950
44	99	12	32	20	7334
45	103	17	21	4	9084
46	115	43	19	24	30663
47	81	52	50	2	8487
48	119	52	40	12	3724
49	97	17	20	3	9237
50	107	25	17	8	6211
51	85	43	51	8	4454
52	105	21	31	10	12101
53	111	34	40	6	7956
54	109	30	40	10	3413
55	89	34	20	14	5346
56	113	39	30	9	4785
57	117	47	30	17	9007
58	95	21	50	29	5247
59	83	47	50	3	2808
60	87	39	30	9	3266
61	83	47	50	3	4125
62	99	12	20	8	3030
63	107	25	20	5	27683
64	85	43	50	7	17219
65	103	17	20	3	6075
66	113	39	30	9	4089
67	97	17	23	6	9811
68	111	34	20	14	4213
69	119	52	30	22	2855
70	95	21	31	10	3168
71	101	12	22	10	3581
72	91	30	31	1	17106
73	117	47	40	7	7245
74	93	25	30	5	3923
75	87	39	40	1	4150
76	115	43	40	3	4355
77	89	34	32	2	4872
78	109	30	41	11	3420
79	81	52	50	2	3425
80	105	21	23	2	7667
81	107	25	29	4	7637
82	97	17	20	3	3310
83	91	30	30	0	3389
84	117	47	33	14	3676
85	101	12	20	8	3046
86	85	43	40	3	2735
87	119	52	30	22	3344
88	105	21	30	9	22405
89	99	12	12	0	3596
90	93	25	20	5	4227
91	103	17	13	4	5486
92	111	34	20	14	4474
93	113	39	37	2	7315
94	89	34	40	6	11859
95	87	39	40	1	4900
96	83	47	47	0	4099
97	109	30	27	3	10698
98	115	43	42	1	8690
99	95	21	20	1	9484
100	81	52	50	2	6167
101	93	25	28	3	19068
102	109	30	30	0	10240
103	119	52	51	1	9194
104	105	21	21	0	8423
105	87	39	35	4	15246
106	97	17	20	3	11641
107	83	47	45	2	18147
108	107	25	24	1	9934
109	113	39	35	4	10912
110	117	47	47	0	13931
111	103	17	15	2	6933
112	115	43	42	1	6220
113	95	21	23	2	8201
114	91	30	30	0	9517
115	111	34	34	0	8940
116	81	52	51	1	17287
117	101	12	13	1	9031
118	85	43	42	1	10345
119	99	12	12	0	4283
120	89	34	32	2	8095
121	111	34	34	0	13803
122	119	52	51	1	28176
123	85	43	42	1	7069
124	81	52	50	2	18851
125	95	21	22	1	5908
126	107	25	24	1	7834
127	117	47	44	3	13014
128	101	12	15	3	5737
129	115	43	17	26	7505
130	89	34	32	2	9271
131	93	25	25	0	12143
132	83	47	27	20	8817
133	113	39	40	1	22863
134	105	21	23	2	5230
135	109	30	29	1	5994
136	97	17	20	3	6612
137	91	30	32	2	4974
138	103	17	14	3	7735
139	87	39	41	2	15375
140	99	12	13	1	3858
141	103	17	16	1	9212
142	91	30	31	1	17053
143	107	25	25	0	8030
144	87	39	41	2	30763
