Participant 226_training	; Experiment run on 2017-09-21T15:09:19.679000
Trial	Input	Output	Predict	Error	RT
1	107	25	190	165	11067
2	91	30	150	120	13092
3	83	47	30	17	5222
4	111	34	35	1	32008
5	93	25	14	11	32749
6	117	47	36	11	24599
7	87	39	27	12	20309
8	105	21	85	64	9814
9	95	21	27	6	9023
10	109	30	31	1	10703
11	85	43	24	19	26157
12	101	12	45	33	12622
13	97	17	33	16	19551
14	115	43	40	3	6358
15	81	52	15	37	7453
16	119	52	38	14	14789
17	89	34	47	13	9415
18	103	17	34	17	8999
19	99	12	25	13	5182
20	113	39	32	7	7530
21	81	52	50	2	6044
22	99	12	14	2	9615
23	83	47	52	5	4757
24	93	25	45	20	8687
25	101	12	16	4	6527
26	105	21	26	5	9301
27	85	43	32	11	9613
28	119	52	18	34	10215
29	117	47	46	1	7758
30	115	43	44	1	9165
31	111	34	30	4	7335
32	103	17	15	2	6815
33	91	30	18	12	18230
34	97	17	16	1	10414
35	113	39	33	6	7352
36	87	39	36	3	6598
37	95	21	29	8	11558
38	107	25	27	2	16110
39	109	30	24	6	8791
40	89	34	35	1	7432
41	101	12	28	16	11980
42	93	25	22	3	9974
43	91	30	24	6	12238
44	99	12	17	5	6950
45	103	17	9	8	8312
46	115	43	44	1	7820
47	81	52	50	2	3207
48	119	52	45	7	6910
49	97	17	22	5	6134
50	107	25	28	3	6792
51	85	43	47	4	11307
52	105	21	25	4	10182
53	111	34	32	2	5591
54	109	30	27	3	7141
55	89	34	35	1	9822
56	113	39	32	7	11328
57	117	47	45	2	8808
58	95	21	35	14	13478
59	83	47	46	1	8111
60	87	39	43	4	7998
61	83	47	46	1	10846
62	99	12	16	4	8876
63	107	25	27	2	8278
64	85	43	45	2	9999
65	103	17	24	7	9409
66	113	39	34	5	6948
67	97	17	15	2	8613
68	111	34	31	3	5973
69	119	52	37	15	8134
70	95	21	19	2	10206
71	101	12	13	1	7568
72	91	30	41	11	4462
73	117	47	55	8	8982
74	93	25	23	2	15542
75	87	39	39	0	9992
76	115	43	42	1	9463
77	89	34	40	6	7342
78	109	30	31	1	7374
79	81	52	49	3	9077
80	105	21	26	5	9423
81	107	25	26	1	19739
82	97	17	15	2	6035
83	91	30	41	11	4206
84	117	47	37	10	9960
85	101	12	18	6	12615
86	85	43	39	4	24814
87	119	52	48	4	6613
88	105	21	24	3	11775
89	99	12	14	2	5589
90	93	25	28	3	10183
91	103	17	24	7	7847
92	111	34	31	3	4255
93	113	39	34	5	3567
94	89	34	28	6	6079
95	87	39	37	2	7094
96	83	47	38	9	6774
97	109	30	13	17	9935
98	115	43	45	2	6637
99	95	21	29	8	16557
100	81	52	48	4	5726
101	93	25	23	2	14907
102	109	30	28	2	4454
103	119	52	49	3	4965
104	105	21	26	5	6639
105	87	39	42	3	10871
106	97	17	19	2	9823
107	83	47	52	5	4823
108	107	25	27	2	10374
109	113	39	37	2	4966
110	117	47	40	7	13229
111	103	17	22	5	8422
112	115	43	42	1	13014
113	95	21	16	5	12838
114	91	30	40	10	4878
115	111	34	32	2	4855
116	81	52	52	0	4015
117	101	12	16	4	12567
118	85	43	40	3	9887
119	99	12	14	2	5669
120	89	34	30	4	4158
121	111	34	32	2	6083
122	119	52	50	2	6118
123	85	43	43	0	7798
124	81	52	52	0	7293
125	95	21	14	7	7454
126	107	25	16	9	6470
127	117	47	39	8	7830
128	101	12	16	4	8526
129	115	43	41	2	6783
130	89	34	35	1	7534
131	93	25	21	4	12278
132	83	47	44	3	8806
133	113	39	38	1	6278
134	105	21	17	4	10333
135	109	30	27	3	6487
136	97	17	25	8	13806
