Participant 320_training	; Experiment run on 2018-08-03T10:00:31.492000
Trial	Input	Output	Predict	Error	RT
1	107	25	182	157	19947
2	91	30	15	15	13959
3	83	47	28	19	15689
4	111	34	20	14	18517
5	93	25	34	9	7461
6	117	47	38	9	12823
7	87	39	34	5	8325
8	105	21	39	18	5991
9	95	21	27	6	5371
10	109	30	20	10	6688
11	85	43	18	25	7930
12	101	12	35	23	5714
13	97	17	35	18	15348
14	115	43	17	26	5250
15	81	52	20	32	3484
16	119	52	46	6	5396
17	89	34	30	4	3237
18	103	17	40	23	3923
19	99	12	21	9	4042
20	113	39	40	1	8137
21	81	52	40	12	5828
22	99	12	19	7	6863
23	83	47	22	25	4023
24	93	25	46	21	3740
25	101	12	40	28	2274
26	105	21	40	19	2415
27	85	43	40	3	3108
28	119	52	40	12	4817
29	117	47	50	3	2113
30	115	43	57	14	4277
31	111	34	46	12	3553
32	103	17	18	1	5879
33	91	30	30	0	2009
34	97	17	37	20	7389
35	113	39	39	0	52863
36	87	39	21	18	5124
37	95	21	20	1	2615
38	107	25	39	14	4699
39	109	30	30	0	2161
40	89	34	28	6	6781
41	101	12	40	28	7004
42	93	25	26	1	4169
43	91	30	29	1	2648
44	99	12	20	8	3844
45	103	17	20	3	2756
46	115	43	40	3	4254
47	81	52	20	32	4946
48	119	52	40	12	2361
49	97	17	14	3	15462
50	107	25	28	3	9238
51	85	43	37	6	9288
52	105	21	20	1	9177
53	111	34	30	4	3231
54	109	30	30	0	1838
55	89	34	29	5	3386
56	113	39	35	4	8624
57	117	47	41	6	3534
58	95	21	16	5	10096
59	83	47	13	34	13137
60	87	39	43	4	5737
61	83	47	40	7	8292
62	99	12	10	2	3742
63	107	25	25	0	11794
64	85	43	47	4	4439
65	103	17	17	0	19017
66	113	39	36	3	9818
67	97	17	19	2	5958
68	111	34	11	23	3527
69	119	52	40	12	2899
70	95	21	20	1	2825
71	101	12	10	2	2176
72	91	30	30	0	2095
73	117	47	40	7	8133
74	93	25	20	5	3279
75	87	39	40	1	9633
76	115	43	46	3	5082
77	89	34	30	4	1925
78	109	30	30	0	17175
79	81	52	40	12	3708
80	105	21	25	4	8833
81	107	25	24	1	21045
82	97	17	20	3	5596
83	91	30	30	0	1638
84	117	47	46	1	19899
85	101	12	10	2	5168
86	85	43	40	3	3481
87	119	52	50	2	3171
88	105	21	23	2	15384
89	99	12	10	2	4993
90	93	25	20	5	13194
91	103	17	24	7	3684
92	111	34	30	4	2640
93	113	39	34	5	10849
94	89	34	30	4	2411
95	87	39	38	1	7340
96	83	47	45	2	9138
97	109	30	30	0	2723
98	115	43	40	3	5223
99	95	21	20	1	26595
100	81	52	45	7	11584
101	93	25	25	0	16309
102	109	30	30	0	2692
103	119	52	50	2	3519
104	105	21	18	3	24476
105	87	39	36	3	44805
106	97	17	17	0	8710
107	83	47	42	5	7598
108	107	25	25	0	7168
109	113	39	37	2	9011
110	117	47	47	0	7397
111	103	17	19	2	12512
112	115	43	40	3	5021
113	95	21	20	1	5699
114	91	30	30	0	4032
115	111	34	30	4	2894
116	81	52	47	5	7887
117	101	12	12	0	6759
118	85	43	40	3	6155
119	99	12	10	2	2432
120	89	34	30	4	2050
121	111	34	32	2	15340
122	119	52	49	3	3701
123	85	43	40	3	3498
124	81	52	50	2	2321
125	95	21	10	11	16869
126	107	25	24	1	11394
127	117	47	50	3	3684
128	101	12	12	0	6755
129	115	43	42	1	24620
130	89	34	30	4	1921
131	93	25	17	8	13598
132	83	47	43	4	9880
133	113	39	40	1	16122
134	105	21	20	1	4667
135	109	30	19	11	6160
136	97	17	15	2	4707
