Participant 289_training	; Experiment run on 2018-02-09T15:28:36.356000
Trial	Input	Output	Predict	Error	RT
1	107	25	200	175	11180
2	91	30	9	21	28174
3	83	47	27	20	27228
4	111	34	55	21	7188
5	93	25	50	25	21629
6	117	47	25	22	26017
7	87	39	50	11	18701
8	105	21	51	30	26080
9	95	21	15	6	16962
10	109	30	30	0	36444
11	85	43	50	7	7782
12	101	12	31	19	7502
13	97	17	29	12	10122
14	115	43	22	21	26760
15	81	52	22	30	12089
16	119	52	39	13	28094
17	89	34	35	1	10191
18	103	17	23	6	32915
19	99	12	30	18	4817
20	113	39	32	7	12943
21	81	52	26	26	8924
22	99	12	30	18	6124
23	83	47	49	2	12115
24	93	25	48	23	25987
25	101	12	31	19	7747
26	105	21	15	6	9743
27	85	43	55	12	18729
28	119	52	22	30	26854
29	117	47	20	27	12410
30	115	43	45	2	14913
31	111	34	31	3	18111
32	103	17	33	16	17759
33	91	30	41	11	11588
34	97	17	24	7	19206
35	113	39	11	28	22297
36	87	39	44	5	7357
37	95	21	41	20	5944
38	107	25	35	10	17489
39	109	30	29	1	23503
40	89	34	41	7	14823
41	101	12	41	29	10955
42	93	25	28	3	34358
43	91	30	22	8	15322
44	99	12	34	22	28986
45	103	17	15	2	18899
46	115	43	17	26	18169
47	81	52	30	22	11200
48	119	52	21	31	2746
49	97	17	51	34	3703
50	107	25	51	26	5150
51	85	43	26	17	5803
52	105	21	26	5	4296
53	111	34	21	13	7636
54	109	30	39	9	10872
55	89	34	41	7	8484
56	113	39	60	21	45759
57	117	47	40	7	11242
58	95	21	3	18	1941
59	83	47	20	27	2612
60	87	39	30	9	1990
61	83	47	31	16	8668
62	99	12	30	18	6122
63	107	25	21	4	5551
64	85	43	19	24	11311
65	103	17	18	1	11124
66	113	39	12	27	7322
67	97	17	32	15	3505
68	111	34	32	2	7712
69	119	52	21	31	4775
70	95	21	43	22	6598
71	101	12	32	20	5693
72	91	30	41	11	9272
73	117	47	13	34	41197
74	93	25	20	5	16998
75	87	39	34	5	17202
76	115	43	10	33	7428
77	89	34	40	6	7290
78	109	30	29	1	9279
79	81	52	36	16	14241
80	105	21	40	19	6932
81	107	25	37	12	9356
82	97	17	26	9	5946
83	91	30	30	0	14434
84	117	47	21	26	14089
85	101	12	1	11	5604
86	85	43	34	9	9415
87	119	52	47	5	5509
88	105	21	35	14	5886
89	99	12	21	9	7121
90	93	25	33	8	5580
91	103	17	34	17	12382
92	111	34	22	12	1853
93	113	39	35	4	5799
94	89	34	30	4	5750
95	87	39	41	2	7425
96	83	47	48	1	18815
97	109	30	21	9	12039
98	115	43	26	17	5713
99	95	21	36	15	8807
100	81	52	50	2	10135
101	93	25	32	7	10964
102	109	30	32	2	3166
103	119	52	61	9	22983
104	105	21	42	21	11907
105	87	39	30	9	7298
106	97	17	60	43	2349
107	83	47	18	29	6461
108	107	25	37	12	4843
109	113	39	36	3	10933
110	117	47	39	8	6316
111	103	17	64	47	14103
112	115	43	32	11	19181
113	95	21	40	19	15830
114	91	30	31	1	7044
115	111	34	21	13	3990
116	81	52	48	4	6518
117	101	12	32	20	9220
118	85	43	42	1	7700
119	99	12	30	18	4667
120	89	34	20	14	4642
121	111	34	90	56	2404
122	119	52	10	42	0
123	85	43	132	89	11084
124	81	52	47	5	9666
125	95	21	32	11	22512
126	107	25	36	11	5668
127	117	47	68	21	12214
128	101	12	50	38	11878
129	115	43	10	33	21245
130	89	34	80	46	11131
131	93	25	1	24	2655
132	83	47	24	23	5934
133	113	39	132	93	7889
134	105	21	28	7	15047
135	109	30	15	15	9522
136	97	17	37	20	3126
137	91	30	23	7	1851
138	103	17	37	20	3975
139	87	39	30	9	4128
140	99	12	30	18	4481
141	103	17	30	13	15132
142	91	30	46	16	7702
143	107	25	48	23	7242
144	87	39	41	2	21319
145	89	34	54	20	10416
146	113	39	31	8	14334
147	119	52	31	21	1588
148	105	21	50	29	2476
149	83	47	40	7	4031
150	111	34	30	4	3908
151	109	30	41	11	16776
152	95	21	30	9	12070
153	117	47	36	11	9111
154	85	43	43	0	11355
155	101	12	30	18	11936
156	93	25	30	5	7839
157	115	43	15	28	9636
158	99	12	20	8	5127
159	81	52	39	13	7760
160	97	17	40	23	7156
161	91	30	40	10	4260
162	93	25	32	7	6687
163	107	25	60	35	1910
164	99	12	46	34	7568
165	89	34	43	9	14443
166	113	39	50	11	3251
167	85	43	30	13	6667
168	83	47	50	3	2928
169	97	17	38	21	19712
170	105	21	40	19	10404
171	103	17	62	45	5428
172	109	30	11	19	6572
173	87	39	40	1	12853
174	95	21	28	7	5530
175	119	52	20	32	3795
176	81	52	54	2	5703
177	101	12	30	18	21725
178	115	43	45	2	14559
179	111	34	34	0	19991
180	117	47	50	3	20842
181	107	25	39	14	19621
182	109	30	23	7	6193
183	95	21	10	11	35032
184	91	30	47	17	7602
185	81	52	40	12	7027
186	113	39	50	11	2634
187	99	12	30	18	2921
188	85	43	30	13	12452
