Participant 285_training	; Experiment run on 2018-02-01T16:54:07.745643
Trial	Input	Output	Predict	Error	RT
1	107	25	107	82	13380
2	91	30	190	160	36152
3	83	47	26	21	31638
4	111	34	55	21	9324
5	93	25	36	11	10782
6	117	47	55	8	18765
7	87	39	15	24	9990
8	105	21	60	39	12349
9	95	21	30	9	10881
10	109	30	60	30	7057
11	85	43	25	18	10733
12	101	12	35	23	11814
13	97	17	35	18	12218
14	115	43	15	28	26427
15	81	52	40	12	6207
16	119	52	60	8	8002
17	89	34	36	2	26831
18	103	17	32	15	23570
19	99	12	35	23	21778
20	113	39	42	3	14422
21	81	52	25	27	12574
22	99	12	50	38	7041
23	83	47	40	7	9639
24	93	25	20	5	3735
25	101	12	15	3	5710
26	105	21	15	6	9576
27	85	43	42	1	8136
28	119	52	40	12	12760
29	117	47	52	5	7105
30	115	43	50	7	4837
31	111	34	40	6	5446
32	103	17	29	12	5662
33	91	30	47	17	7020
34	97	17	16	1	9655
35	113	39	42	3	6033
36	87	39	42	3	5300
37	95	21	30	9	2848
38	107	25	18	7	17371
39	109	30	30	0	5761
40	89	34	10	24	6033
41	101	12	30	18	7326
42	93	25	28	3	5537
43	91	30	27	3	3488
44	99	12	18	6	5483
45	103	17	20	3	10572
46	115	43	13	30	10006
47	81	52	42	10	10942
48	119	52	16	36	7958
49	97	17	30	13	10550
50	107	25	28	3	13658
51	85	43	37	6	8898
52	105	21	30	9	11415
53	111	34	24	10	6766
54	109	30	43	13	8105
55	89	34	45	11	11456
56	113	39	44	5	13597
57	117	47	35	12	6864
58	95	21	50	29	7967
59	83	47	42	5	12399
60	87	39	50	11	4833
61	83	47	42	5	15382
62	99	12	59	47	14514
63	107	25	18	7	14948
64	85	43	37	6	11030
65	103	17	15	2	8672
66	113	39	12	27	6365
67	97	17	16	1	7750
68	111	34	30	4	2274
69	119	52	43	9	5540
70	95	21	15	6	7463
71	101	12	17	5	5149
72	91	30	52	22	7072
73	117	47	38	9	11678
74	93	25	52	27	10885
75	87	39	43	4	8558
76	115	43	34	9	4420
77	89	34	40	6	5968
78	109	30	37	7	13207
79	81	52	41	11	8143
80	105	21	30	9	7405
81	107	25	30	5	5880
82	97	17	16	1	38422
83	91	30	10	20	10151
84	117	47	36	11	12527
85	101	12	20	8	5262
86	85	43	27	16	5131
87	119	52	40	12	6526
88	105	21	25	4	35550
89	99	12	50	38	8010
90	93	25	43	18	6289
91	103	17	34	17	3983
92	111	34	15	19	3766
93	113	39	50	11	8100
94	89	34	30	4	2331
95	87	39	40	1	3665
96	83	47	48	1	5439
97	109	30	34	4	8431
98	115	43	33	10	3828
99	95	21	27	6	4152
100	81	52	43	9	4044
101	93	25	28	3	7256
102	109	30	47	17	7790
103	119	52	40	12	2566
104	105	21	55	34	9153
105	87	39	30	9	3540
106	97	17	26	9	4426
107	83	47	50	3	3403
108	107	25	20	5	2709
109	113	39	17	22	3828
110	117	47	40	7	4677
111	103	17	20	3	3257
112	115	43	40	3	2919
113	95	21	33	12	4603
114	91	30	30	0	2229
115	111	34	50	16	4665
116	81	52	43	9	3750
117	101	12	28	16	5778
118	85	43	10	33	8039
119	99	12	13	1	3846
120	89	34	30	4	1948
121	111	34	40	6	8328
122	119	52	40	12	6902
123	85	43	30	13	3371
124	81	52	30	22	2664
125	95	21	30	9	2788
126	107	25	30	5	3154
127	117	47	40	7	3294
128	101	12	32	20	7580
129	115	43	35	8	6936
130	89	34	30	4	3975
131	93	25	37	12	4558
132	83	47	52	5	3113
133	113	39	40	1	5050
134	105	21	36	15	5002
135	109	30	30	0	3598
136	97	17	30	13	4605
137	91	30	30	0	8506
138	103	17	36	19	4814
139	87	39	50	11	4183
140	99	12	20	8	2757
141	103	17	25	8	10918
142	91	30	30	0	3412
143	107	25	25	0	7411
144	87	39	28	11	4100
145	89	34	30	4	2536
146	113	39	25	14	4837
147	119	52	47	5	4975
148	105	21	25	4	5646
149	83	47	38	9	5645
150	111	34	40	6	4644
151	109	30	30	0	3420
152	95	21	36	15	5832
153	117	47	50	3	6089
154	85	43	43	0	5321
155	101	12	30	18	3726
156	93	25	40	15	5425
157	115	43	36	7	6230
158	99	12	24	12	3072
159	81	52	52	0	3709
160	97	17	17	0	10632
161	91	30	28	2	8782
162	93	25	28	3	2968
163	107	25	26	1	9276
164	99	12	12	0	3261
165	89	34	30	4	2824
166	113	39	42	3	9400
167	85	43	52	9	4360
168	83	47	50	3	4913
169	97	17	14	3	3550
170	105	21	25	4	6047
171	103	17	20	3	3632
172	109	30	25	5	3948
173	87	39	45	6	4832
174	95	21	45	24	4989
175	119	52	40	12	3936
176	81	52	49	3	6493
177	101	12	19	7	3308
178	115	43	42	1	6585
179	111	34	39	5	3495
180	117	47	30	17	2566
181	107	25	40	15	5414
182	109	30	21	9	7387
183	95	21	20	1	3791
184	91	30	30	0	4028
185	81	52	52	0	3049
186	113	39	42	3	5496
187	99	12	12	0	2825
188	85	43	32	11	5638
189	115	43	43	0	4368
190	119	52	30	22	3406
191	87	39	48	9	4151
192	117	47	52	5	3492
193	103	17	12	5	4045
194	93	25	34	9	4510
195	83	47	43	4	3431
196	97	17	12	5	2531
197	89	34	30	4	2298
198	105	21	22	1	5657
199	101	12	16	4	4408
200	111	34	20	14	1945
1	53	113	28	85	13971
2	79	56	52	4	4907
3	137	91	53	38	13727
4	133	83	43	40	6681
5	141	100	50	50	5629
6	114	41	33	8	4443
7	73	69	30	39	7253
8	51	118	25	93	3288
9	125	65	43	22	3204
10	100	10	12	2	2480
11	143	105	48	57	4013
12	75	65	48	17	6220
13	84	45	45	0	4495
14	61	96	30	66	2221
15	127	69	42	27	3661
16	65	87	34	53	4326
17	57	105	27	78	5317
18	71	74	34	40	7679
19	135	87	46	41	9109
20	67	83	35	48	5174
21	108	28	18	10	6335
22	145	109	48	61	5823
23	59	100	30	70	3113
24	69	78	35	43	4004
25	120	54	42	12	3735
26	77	61	52	9	3165
27	149	118	72	46	3642
28	55	109	33	76	7493
29	139	96	82	14	5772
30	129	74	72	2	9215
31	123	61	42	19	3253
32	131	78	52	26	4603
33	63	91	40	51	4084
34	147	113	48	65	6943
35	121	56	42	14	3839
36	92	28	30	2	2340
