Participant 235_training	; Experiment run on 2017-09-28T15:47:49.442000
Trial	Input	Output	Predict	Error	RT
1	107	25	110	85	11280
2	91	30	10	20	18625
3	83	47	42	5	17533
4	111	34	55	21	6685
5	93	25	39	14	28422
6	117	47	10	37	6144
7	87	39	50	11	6413
8	105	21	60	39	4335
9	95	21	20	1	4293
10	109	30	20	10	3331
11	85	43	60	17	7435
12	101	12	40	28	3886
13	97	17	30	13	5965
14	115	43	10	33	1654
15	81	52	80	28	7023
16	119	52	20	32	3998
17	89	34	30	4	14406
18	103	17	20	3	4093
19	99	12	20	8	2726
20	113	39	7	32	5884
21	81	52	40	12	3251
22	99	12	40	28	2390
23	83	47	30	17	3637
24	93	25	40	15	2220
25	101	12	30	18	1934
26	105	21	5	16	7333
27	85	43	40	3	11382
28	119	52	60	8	3738
29	117	47	56	9	9221
30	115	43	52	9	10310
31	111	34	45	11	6999
32	103	17	47	30	4462
33	91	30	33	3	5318
34	97	17	36	19	8615
35	113	39	48	9	4950
36	87	39	34	5	5758
37	95	21	50	29	5093
38	107	25	52	27	5438
39	109	30	48	18	9061
40	89	34	32	2	4518
41	101	12	47	35	5651
42	93	25	34	9	5957
43	91	30	22	8	4461
44	99	12	44	32	3846
45	103	17	34	17	13045
46	115	43	43	0	8397
47	81	52	26	26	6982
48	119	52	10	42	3813
49	97	17	36	19	4820
50	107	25	43	18	3744
51	85	43	25	18	3245
52	105	21	34	13	3726
53	111	34	43	9	3310
54	109	30	41	11	4645
55	89	34	26	8	3398
56	113	39	41	2	11389
57	117	47	47	0	3550
58	95	21	40	19	3350
59	83	47	24	23	4071
60	87	39	50	11	4710
61	83	47	38	9	4211
62	99	12	39	27	4357
63	107	25	50	25	2803
64	85	43	30	13	5445
65	103	17	40	23	1903
66	113	39	20	19	1846
67	97	17	30	13	2095
68	111	34	40	6	1933
69	119	52	40	12	1390
70	95	21	30	9	1950
71	101	12	40	28	1829
72	91	30	30	0	1702
73	117	47	20	27	7486
74	93	25	25	0	7054
75	87	39	22	17	8133
76	115	43	30	13	3638
77	89	34	30	4	5501
78	109	30	40	10	3206
79	81	52	20	32	2525
80	105	21	20	1	3758
81	107	25	30	5	3182
82	97	17	20	3	1574
83	91	30	20	10	1900
84	117	47	40	7	2062
85	101	12	40	28	3014
86	85	43	26	17	3550
87	119	52	60	8	3294
88	105	21	39	18	4199
89	99	12	30	18	2117
90	93	25	40	15	3470
91	103	17	40	23	6070
92	111	34	20	14	1646
93	113	39	30	9	6470
94	89	34	30	4	1726
95	87	39	30	9	9766
96	83	47	20	27	1542
97	109	30	40	10	3702
98	115	43	40	3	13189
99	95	21	30	9	1632
100	81	52	22	30	2819
101	93	25	30	5	3683
102	109	30	40	10	2314
103	119	52	40	12	2908
104	105	21	40	19	12064
105	87	39	30	9	1804
106	97	17	40	23	3280
107	83	47	30	17	6317
108	107	25	28	3	3197
109	113	39	31	8	8838
110	117	47	40	7	3861
111	103	17	20	3	2415
112	115	43	30	13	1949
113	95	21	30	9	11182
114	91	30	30	0	2197
115	111	34	30	4	2413
116	81	52	20	32	2149
117	101	12	30	18	17605
118	85	43	20	23	1925
119	99	12	20	8	1632
120	89	34	30	4	1350
121	111	34	30	4	2107
122	119	52	20	32	2630
123	85	43	40	3	3261
124	81	52	20	32	1455
125	95	21	30	9	6406
126	107	25	20	5	2030
127	117	47	30	17	2341
128	101	12	30	18	9988
129	115	43	40	3	1741
130	89	34	30	4	1645
131	93	25	30	5	5333
132	83	47	30	17	7798
133	113	39	40	1	3958
134	105	21	40	19	1669
135	109	30	40	10	10886
136	97	17	30	13	1902
137	91	30	30	0	3038
138	103	17	40	23	9654
139	87	39	30	9	1430
140	99	12	40	28	5630
141	103	17	90	73	3347
142	91	30	30	0	2006
143	107	25	23	2	2747
144	87	39	40	1	2653
145	89	34	40	6	3502
146	113	39	36	3	9491
147	119	52	60	8	2326
148	105	21	34	13	2927
149	83	47	40	7	2638
150	111	34	37	3	17054
151	109	30	30	0	2285
152	95	21	20	1	2032
153	117	47	40	7	3835
154	85	43	40	3	2014
155	101	12	30	18	4342
156	93	25	30	5	2045
157	115	43	30	13	3495
158	99	12	30	18	2526
159	81	52	40	12	2054
160	97	17	20	3	2509
161	91	30	30	0	3668
162	93	25	32	7	4542
163	107	25	20	5	2222
164	99	12	20	8	1437
165	89	34	30	4	5989
166	113	39	30	9	2437
167	85	43	40	3	3005
168	83	47	50	3	3197
169	97	17	20	3	3061
170	105	21	30	9	2038
171	103	17	20	3	2325
172	109	30	30	0	2661
173	87	39	36	3	7614
174	95	21	22	1	5709
175	119	52	50	2	2676
