Participant 316_training	; Experiment run on 2018-07-05T14:02:11.185794
Trial	Input	Output	Predict	Error	RT
1	107	25	90	65	14364
2	91	30	30	0	22778
3	83	47	28	19	11787
4	111	34	40	6	15050
5	93	25	31	6	14001
6	117	47	44	3	18309
7	87	39	30	9	6427
8	105	21	40	19	6761
9	95	21	50	29	8964
10	109	30	40	10	6386
11	85	43	40	3	4774
12	101	12	34	22	6340
13	97	17	20	3	6493
14	115	43	24	19	4663
15	81	52	60	8	3655
16	119	52	36	16	4191
17	89	34	60	26	3064
18	103	17	34	17	4023
19	99	12	23	11	5227
20	113	39	26	13	10624
21	81	52	23	29	9301
22	99	12	40	28	3296
23	83	47	20	27	5772
24	93	25	40	15	4747
25	101	12	25	13	6208
26	105	21	30	9	2761
27	85	43	17	26	5685
28	119	52	40	12	3075
29	117	47	37	10	11623
30	115	43	40	3	4718
31	111	34	44	10	5478
32	103	17	34	17	4390
33	91	30	24	6	6277
34	97	17	50	33	4733
35	113	39	30	9	3430
36	87	39	44	5	4512
37	95	21	30	9	3974
38	107	25	34	9	5087
39	109	30	23	7	12727
40	89	34	34	0	9483
41	101	12	34	22	5517
42	93	25	40	15	3206
43	91	30	20	10	4029
44	99	12	12	0	4518
45	103	17	24	7	3777
46	115	43	40	3	2312
47	81	52	40	12	3740
48	119	52	40	12	5170
49	97	17	37	20	8644
50	107	25	35	10	14469
51	85	43	25	18	6120
52	105	21	32	11	10642
53	111	34	30	4	2539
54	109	30	25	5	4281
55	89	34	14	20	4596
56	113	39	28	11	8097
57	117	47	38	9	7229
58	95	21	24	3	5175
59	83	47	13	34	3406
60	87	39	13	26	10293
61	83	47	35	12	11949
62	99	12	17	5	8076
63	107	25	37	12	22768
64	85	43	35	8	9762
65	103	17	16	1	5257
66	113	39	27	12	9462
67	97	17	33	16	5540
68	111	34	27	7	5602
69	119	52	40	12	5080
70	95	21	26	5	3989
71	101	12	12	0	10570
72	91	30	23	7	11877
73	117	47	40	7	3416
74	93	25	47	22	16303
75	87	39	20	19	2914
76	115	43	30	13	2964
77	89	34	30	4	2782
78	109	30	35	5	7300
79	81	52	37	15	4847
80	105	21	46	25	9119
81	107	25	35	10	10694
82	97	17	34	17	4450
83	91	30	34	4	4459
