Participant 243_training	; Experiment run on 2017-10-19T13:47:58.358510
Trial	Input	Output	Predict	Error	RT
1	107	25	107	82	10086
2	91	30	24	6	5524
3	83	47	28	19	15501
4	111	34	40	6	7272
5	93	25	31	6	5735
6	117	47	37	10	7022
7	87	39	29	10	7754
8	105	21	40	19	8382
9	95	21	11	10	13014
10	109	30	21	9	3838
11	85	43	11	32	6794
12	101	12	21	9	5154
13	97	17	21	4	7598
14	115	43	17	26	4423
15	81	52	40	12	6682
16	119	52	73	21	4707
17	89	34	34	0	5418
18	103	17	21	4	42395
19	99	12	21	9	4528
20	113	39	30	9	3180
21	81	52	39	13	8198
22	99	12	17	5	5447
23	83	47	23	24	11467
24	93	25	21	4	16786
25	101	12	12	0	5652
26	105	21	21	0	4341
27	85	43	44	1	5667
28	119	52	49	3	5369
29	117	47	30	17	3568
30	115	43	30	13	3052
31	111	34	39	5	7158
32	103	17	27	10	3956
33	91	30	21	9	2740
34	97	17	30	13	4772
35	113	39	43	4	5650
36	87	39	21	18	11094
37	95	21	34	13	20110
38	107	25	20	5	6116
39	109	30	31	1	14228
40	89	34	21	13	16260
41	101	12	39	27	7503
42	93	25	21	4	6438
43	91	30	22	8	6392
44	99	12	14	2	5527
45	103	17	21	4	6014
46	115	43	39	4	32244
47	81	52	33	19	5943
48	119	52	43	9	13071
49	97	17	17	0	4199
50	107	25	43	18	6572
51	85	43	21	22	4960
52	105	21	17	4	16289
53	111	34	17	17	4775
54	109	30	30	0	3864
55	89	34	21	13	4944
56	113	39	35	4	6190
57	117	47	42	5	5741
58	95	21	25	4	5035
59	83	47	17	30	6068
60	87	39	39	0	3852
61	83	47	24	23	27295
62	99	12	12	0	4120
63	107	25	30	5	5299
64	85	43	21	22	6123
65	103	17	17	0	4495
66	113	39	35	4	3898
67	97	17	25	8	11932
68	111	34	30	4	3384
69	119	52	40	12	3463
70	95	21	17	4	3831
71	101	12	12	0	3501
72	91	30	25	5	3284
73	117	47	45	2	4169
74	93	25	21	4	5545
75	87	39	30	9	3482
76	115	43	45	2	4942
77	89	34	21	13	4138
78	109	30	30	0	5504
79	81	52	34	18	6517
80	105	21	25	4	4646
81	107	25	24	1	7658
82	97	17	30	13	4635
83	91	30	30	0	3223
84	117	47	48	1	4127
85	101	12	21	9	4279
86	85	43	47	4	5147
87	119	52	52	0	15458
88	105	21	35	14	4169
89	99	12	12	0	1878
90	93	25	30	5	3876
91	103	17	21	4	2385
92	111	34	39	5	17556
93	113	39	39	0	2679
94	89	34	21	13	3061
95	87	39	25	14	3534
96	83	47	45	2	4759
97	109	30	31	1	11204
98	115	43	43	0	7187
99	95	21	17	4	7617
100	81	52	52	0	27426
101	93	25	21	4	6543
102	109	30	30	0	9551
103	119	52	52	0	2764
104	105	21	25	4	6637
105	87	39	39	0	23732
106	97	17	17	0	4669
107	83	47	43	4	5852
108	107	25	21	4	8766
109	113	39	39	0	6796
110	117	47	47	0	4486
111	103	17	21	4	3113
112	115	43	39	4	4332
113	95	21	21	0	3239
114	91	30	25	5	11865
115	111	34	34	0	4642
116	81	52	52	0	5162
117	101	12	17	5	4328
118	85	43	43	0	4204
119	99	12	12	0	3399
120	89	34	34	0	3326
121	111	34	44	10	19591
122	119	52	52	0	5571
123	85	43	42	1	8953
124	81	52	47	5	3603
125	95	21	21	0	21075
126	107	25	25	0	4298
127	117	47	43	4	2974
128	101	12	12	0	4866
129	115	43	47	4	5732
130	89	34	34	0	4344
131	93	25	21	4	5875
132	83	47	39	8	7746
133	113	39	39	0	4003
134	105	21	30	9	4113
135	109	30	30	0	38530
136	97	17	21	4	20035
137	91	30	25	5	4434
138	103	17	17	0	2942
139	87	39	39	0	11133
140	99	12	12	0	4607
141	103	17	21	4	31279
142	91	30	25	5	13122
143	107	25	25	0	8132
144	87	39	43	4	12185
145	89	34	37	3	7214
146	113	39	39	0	5922
147	119	52	52	0	2878
148	105	21	25	4	4591
149	83	47	43	4	16210
150	111	34	34	0	4223
151	109	30	30	0	5560
152	95	21	25	4	5022
153	117	47	43	4	7551
154	85	43	45	2	22344
155	101	12	12	0	3174
156	93	25	30	5	4563
157	115	43	47	4	7941
158	99	12	12	0	3239
159	81	52	47	5	5002
160	97	17	17	0	5248
161	91	30	27	3	10575
162	93	25	15	10	3986
163	107	25	30	5	5583
164	99	12	12	0	1957
165	89	34	34	0	3996
166	113	39	39	0	4217
167	85	43	43	0	4896
168	83	47	47	0	3700
169	97	17	21	4	2757
170	105	21	25	4	3513
171	103	17	17	0	21335
172	109	30	27	3	10521
173	87	39	34	5	14831
174	95	21	21	0	3959
175	119	52	52	0	2914
176	81	52	52	0	3376
177	101	12	12	0	5444
178	115	43	45	2	6639
179	111	34	39	5	4129
180	117	47	47	0	3146
181	107	25	28	3	22103
182	109	30	30	0	2413
