Participant 300_training	; Experiment run on 2018-03-22T15:49:11.008919
Trial	Input	Output	Predict	Error	RT
1	107	25	107	82	41371
2	91	30	46	16	43139
3	83	47	25	22	32098
4	111	34	56	22	26678
5	93	25	30	5	11805
6	117	47	40	7	14486
7	87	39	26	13	8633
8	105	21	53	32	20978
9	95	21	45	24	16842
10	109	30	42	12	14388
11	85	43	23	20	10704
12	101	12	30	18	4078
13	97	17	20	3	7160
14	115	43	15	28	18790
15	81	52	30	22	19517
16	119	52	40	12	9236
17	89	34	60	26	6450
18	103	17	30	13	3448
19	99	12	26	14	6041
20	113	39	20	19	4391
21	81	52	50	2	4784
22	99	12	20	8	10488
23	83	47	13	34	9857
24	93	25	45	20	7794
25	101	12	40	28	4816
26	105	21	15	6	10509
27	85	43	40	3	13689
28	119	52	20	32	6533
29	117	47	46	1	6119
30	115	43	45	2	10984
31	111	34	41	7	10298
32	103	17	38	21	12751
33	91	30	30	0	4114
34	97	17	38	21	10765
35	113	39	15	24	9197
36	87	39	30	9	4163
37	95	21	50	29	3109
38	107	25	44	19	7663
39	109	30	36	6	8005
40	89	34	28	6	4923
41	101	12	50	38	12183
42	93	25	30	5	3737
43	91	30	40	10	3336
44	99	12	30	18	4409
45	103	17	20	3	4049
46	115	43	11	32	8712
47	81	52	51	1	12776
48	119	52	60	8	18271
49	97	17	40	23	20328
50	107	25	50	25	26581
51	85	43	30	13	3094
52	105	21	40	19	11252
53	111	34	40	6	20260
54	109	30	28	2	19575
55	89	34	50	16	11534
56	113	39	40	1	11598
57	117	47	33	14	9815
58	95	21	31	10	3799
59	83	47	33	14	3763
60	87	39	32	7	2184
61	83	47	50	3	11934
62	99	12	30	18	3725
63	107	25	20	5	2190
64	85	43	42	1	4825
65	103	17	20	3	3244
66	113	39	20	19	3259
67	97	17	20	3	2432
68	111	34	40	6	4269
69	119	52	50	2	9623
70	95	21	43	22	6605
71	101	12	32	20	3519
72	91	30	50	20	5191
73	117	47	40	7	5221
74	93	25	52	27	6747
75	87	39	43	4	8612
76	115	43	50	7	6187
77	89	34	20	14	3277
78	109	30	36	6	11783
79	81	52	44	8	6741
80	105	21	60	39	44911
81	107	25	20	5	7303
82	97	17	16	1	3776
83	91	30	36	6	14847
84	117	47	45	2	8143
85	101	12	40	28	19033
86	85	43	50	7	29700
87	119	52	40	12	19738
88	105	21	50	29	3350
89	99	12	31	19	4268
90	93	25	28	3	2829
91	103	17	34	17	4994
92	111	34	25	9	35792
93	113	39	27	12	6714
94	89	34	30	4	2933
95	87	39	30	9	3093
96	83	47	40	7	5894
97	109	30	50	20	25120
98	115	43	40	3	2483
99	95	21	30	9	8582
100	81	52	20	32	8925
101	93	25	50	25	34822
102	109	30	30	0	174841
103	119	52	40	12	4633
104	105	21	44	23	181215
105	87	39	30	9	105435
106	97	17	40	23	4455
107	83	47	40	7	11664
108	107	25	39	14	4488
109	113	39	30	9	3727
110	117	47	37	10	7507
111	103	17	50	33	5893
112	115	43	30	13	3707
113	95	21	40	19	2383
114	91	30	35	5	8222
115	111	34	42	8	18781
116	81	52	30	22	2776
117	101	12	22	10	3886
118	85	43	30	13	3822
119	99	12	30	18	2668
120	89	34	20	14	2387
121	111	34	30	4	56775
122	119	52	40	12	180436
123	85	43	50	7	8854
124	81	52	40	12	9322
125	95	21	32	11	6322
126	107	25	50	25	3023
127	117	47	50	3	3089
128	101	12	30	18	3268
129	115	43	50	7	3536
130	89	34	40	6	3050
131	93	25	30	5	2167
132	83	47	20	27	2811
133	113	39	40	1	2778
134	105	21	30	9	2033
135	109	30	42	12	6088
136	97	17	30	13	1788
137	91	30	20	10	6869
138	103	17	32	15	9257
139	87	39	25	14	4614
140	99	12	34	22	3784
141	103	17	10	7	5558
142	91	30	28	2	3420
143	107	25	29	4	5379
144	87	39	33	6	5812
145	89	34	47	13	10420
146	113	39	20	19	6234
147	119	52	50	2	2714
148	105	21	40	19	1726
149	83	47	50	3	3353
150	111	34	43	9	5934
151	109	30	37	7	6279
152	95	21	32	11	4025
153	117	47	51	4	3491
154	85	43	32	11	5745
155	101	12	30	18	2863
156	93	25	30	5	1717
157	115	43	40	3	6183
158	99	12	20	8	3029
159	81	52	40	12	2479
160	97	17	30	13	3926
161	91	30	40	10	2095
162	93	25	40	15	5843
163	107	25	50	25	1597
164	99	12	30	18	1331
165	89	34	50	16	2633
166	113	39	40	1	1460
167	85	43	30	13	2176
168	83	47	40	7	1959
169	97	17	40	23	1208
170	105	21	30	9	1668
171	103	17	20	3	1160
172	109	30	40	10	2226
173	87	39	50	11	2273
174	95	21	30	9	2452
175	119	52	39	13	7123
176	81	52	42	10	4028
177	101	12	40	28	2194
178	115	43	47	4	6717
179	111	34	51	17	4400
180	117	47	49	2	6414
181	107	25	50	25	3494
182	109	30	30	0	2729
183	95	21	50	29	12148
184	91	30	20	10	3926
185	81	52	40	12	7187
186	113	39	30	9	4134
187	99	12	30	18	13008
188	85	43	30	13	1934
189	115	43	40	3	4445
190	119	52	50	2	2838
191	87	39	50	11	2536
192	117	47	40	7	2017
193	103	17	30	13	4033
194	93	25	34	9	4707
195	83	47	32	15	3500
196	97	17	20	3	3485
197	89	34	20	14	4349
198	105	21	30	9	2994
199	101	12	20	8	1507
200	111	34	30	4	3513
1	53	113	90	23	23706
2	79	56	34	22	5104
3	137	91	65	26	6094
4	133	83	56	27	3538
