Participant 319_training	; Experiment run on 2018-08-02T15:01:24.260157
Trial	Input	Output	Predict	Error	RT
1	107	25	107	82	9308
2	91	30	10	20	15973
3	83	47	10	37	11439
4	111	34	25	9	10867
5	93	25	33	8	12855
6	117	47	20	27	11371
7	87	39	38	1	6972
8	105	21	25	4	8483
9	95	21	35	14	6417
10	109	30	23	7	5018
11	85	43	40	3	6777
12	101	12	22	10	7870
13	97	17	34	17	11329
14	115	43	54	11	5163
15	81	52	40	12	3555
16	119	52	10	42	2818
17	89	34	30	4	3675
18	103	17	24	7	3201
19	99	12	22	10	3067
20	113	39	50	11	4966
21	81	52	40	12	4254
22	99	12	50	38	3804
23	83	47	40	7	3483
24	93	25	33	8	3320
25	101	12	10	2	2730
26	105	21	13	8	2901
27	85	43	44	1	4519
28	119	52	55	3	5716
29	117	47	24	23	5108
30	115	43	51	8	4585
31	111	34	10	24	1880
32	103	17	13	4	2693
33	91	30	30	0	2240
34	97	17	33	16	3134
35	113	39	58	19	6243
36	87	39	35	4	4631
37	95	21	33	12	4036
38	107	25	50	25	5406
39	109	30	40	10	2672
40	89	34	30	4	2419
41	101	12	10	2	2351
42	93	25	21	4	7867
43	91	30	30	0	1811
44	99	12	10	2	1619
45	103	17	13	4	2946
46	115	43	44	1	3709
47	81	52	40	12	2513
48	119	52	60	8	3023
49	97	17	16	1	21878
50	107	25	24	1	6265
51	85	43	50	7	9113
52	105	21	25	4	6016
53	111	34	24	10	4626
54	109	30	29	1	4243
55	89	34	30	4	2067
56	113	39	40	1	5959
57	117	47	50	3	3549
58	95	21	16	5	5477
59	83	47	40	7	3263
60	87	39	43	4	5441
61	83	47	50	3	22151
62	99	12	10	2	1751
63	107	25	25	0	3656
64	85	43	42	1	4857
65	103	17	17	0	3998
66	113	39	34	5	4886
67	97	17	21	4	8029
68	111	34	31	3	4766
69	119	52	55	3	4862
70	95	21	22	1	3954
71	101	12	12	0	1917
72	91	30	32	2	2406
73	117	47	44	3	6923
74	93	25	23	2	3403
75	87	39	36	3	5362
76	115	43	50	7	5402
77	89	34	32	2	3235
78	109	30	33	3	3776
79	81	52	55	3	4581
80	105	21	23	2	2513
81	107	25	22	3	3222
82	97	17	14	3	2982
83	91	30	32	2	2723
84	117	47	47	0	5117
85	101	12	12	0	1922
86	85	43	42	1	5717
87	119	52	55	3	4648
88	105	21	23	2	3475
89	99	12	11	1	2138
90	93	25	23	2	2567
91	103	17	25	8	5489
92	111	34	32	2	6032
93	113	39	35	4	4855
94	89	34	30	4	2501
95	87	39	36	3	4593
96	83	47	48	1	3412
97	109	30	23	7	4778
98	115	43	45	2	5602
99	95	21	25	4	4091
100	81	52	43	9	9564
101	93	25	27	2	4030
102	109	30	34	4	4531
103	119	52	54	2	6611
104	105	21	21	0	2305
105	87	39	37	2	4600
106	97	17	18	1	3925
107	83	47	44	3	3831
108	107	25	24	1	3272
109	113	39	36	3	3755
110	117	47	44	3	6358
111	103	17	13	4	3801
112	115	43	42	1	7304
113	95	21	21	0	2783
114	91	30	28	2	9340
115	111	34	32	2	2344
116	81	52	54	2	6610
117	101	12	12	0	2883
118	85	43	41	2	5484
119	99	12	10	2	2020
120	89	34	30	4	2041
121	111	34	30	4	4263
122	119	52	53	1	4946
123	85	43	42	1	4038
124	81	52	40	12	3241
125	95	21	22	1	4126
126	107	25	27	2	4647
127	117	47	52	5	4343
128	101	12	12	0	3148
129	115	43	42	1	5285
130	89	34	30	4	1803
131	93	25	33	8	3404
132	83	47	43	4	5434
133	113	39	40	1	5045
134	105	21	22	1	3661
135	109	30	31	1	6779
136	97	17	22	5	2960
137	91	30	30	0	3016
138	103	17	16	1	4079
139	87	39	34	5	4891
140	99	12	10	2	1574
141	103	17	15	2	4230
142	91	30	32	2	2753
143	107	25	24	1	3758
144	87	39	37	2	3444
145	89	34	30	4	2068
146	113	39	37	2	5504
147	119	52	60	8	3056
148	105	21	24	3	3185
149	83	47	44	3	4209
150	111	34	33	1	3386
151	109	30	30	0	2621
152	95	21	22	1	2768
153	117	47	42	5	3041
154	85	43	40	3	3298
155	101	12	12	0	2808
156	93	25	23	2	2028
157	115	43	42	1	3508
158	99	12	12	0	2118
159	81	52	53	1	3670
160	97	17	19	2	3370
161	91	30	30	0	2871
162	93	25	27	2	4311
163	107	25	23	2	2559
164	99	12	12	0	1992
165	89	34	30	4	2672
166	113	39	34	5	2988
167	85	43	40	3	3248
168	83	47	46	1	3195
169	97	17	17	0	3055
170	105	21	21	0	3398
171	103	17	14	3	2228
172	109	30	30	0	3057
173	87	39	33	6	4055
174	95	21	22	1	5416
175	119	52	53	1	15840
176	81	52	47	5	20235
177	101	12	12	0	2267
178	115	43	41	2	4470
179	111	34	30	4	4086
180	117	47	49	2	6501
181	107	25	24	1	9550
182	109	30	30	0	10738
183	95	21	21	0	4679
184	91	30	30	0	2652
185	81	52	55	3	4452
186	113	39	40	1	4556
187	99	12	12	0	1951
188	85	43	42	1	5313
189	115	43	32	11	4986
190	119	52	50	2	3542
191	87	39	35	4	4874
192	117	47	53	6	5759
193	103	17	17	0	4445
194	93	25	26	1	3348
195	83	47	44	3	4448
196	97	17	23	6	3051
197	89	34	30	4	1586
198	105	21	20	1	5022
199	101	12	20	8	1549
200	111	34	30	4	4443
1	53	113	106	7	27444
2	79	56	55	1	6310
3	137	91	90	1	8113
4	133	83	78	5	7575
5	141	100	94	6	7558
6	114	41	41	0	5435
7	73	69	64	5	6481
8	51	118	107	11	9023
9	125	65	62	3	5374
10	100	10	12	2	2379
11	143	105	99	6	6233
12	75	65	66	1	6061
13	84	45	35	10	5486
14	61	96	83	13	8914
15	127	69	65	4	7552
16	65	87	82	5	5918
17	57	105	95	10	6748
18	71	74	68	6	4843
19	135	87	82	5	4742
20	67	83	74	9	5702
21	108	28	27	1	4902
22	145	109	102	7	5681
23	59	100	92	8	5033
24	69	78	69	9	6422
25	120	54	53	1	4014
26	77	61	57	4	5043
27	149	118	114	4	5767
28	55	109	103	6	4891
29	139	96	90	6	4724
30	129	74	72	2	3934
31	123	61	56	5	4190
32	131	78	73	5	6024
33	63	91	84	7	4297
34	147	113	107	6	5561
35	121	56	54	2	3859
36	92	28	27	1	3675
