Participant 301_training	; Experiment run on 2018-03-23T09:05:23.758499
Trial	Input	Output	Predict	Error	RT
1	107	25	107	82	25903
2	91	30	35	5	10923
3	83	47	37	10	25352
4	111	34	61	27	57460
5	93	25	30	5	27143
6	117	47	60	13	10484
7	87	39	43	4	13513
8	105	21	52	31	24022
9	95	21	37	16	26630
10	109	30	27	3	24293
11	85	43	40	3	38119
12	101	12	25	13	7910
13	97	17	48	31	58812
14	115	43	15	28	35438
15	81	52	21	31	21770
16	119	52	30	22	21697
17	89	34	27	7	27204
18	103	17	51	34	24644
19	99	12	49	37	14515
20	113	39	26	13	53751
21	81	52	40	12	30525
22	99	12	55	43	23399
23	83	47	55	8	28730
24	93	25	37	12	56231
25	101	12	25	13	18169
26	105	21	26	5	43813
27	85	43	42	1	21952
28	119	52	60	8	13005
29	117	47	50	3	23050
30	115	43	49	6	35312
31	111	34	55	21	16980
32	103	17	28	11	19120
33	91	30	35	5	6418
34	97	17	37	20	28210
35	113	39	43	4	27767
36	87	39	27	12	13878
37	95	21	25	4	13627
38	107	25	24	1	20226
39	109	30	30	0	3772
40	89	34	30	4	10134
41	101	12	50	38	15438
42	93	25	32	7	16115
43	91	30	35	5	39004
44	99	12	30	18	5540
45	103	17	24	7	22990
46	115	43	35	8	33474
47	81	52	40	12	11417
48	119	52	52	0	8894
49	97	17	26	9	70350
50	107	25	19	6	35055
51	85	43	23	20	22048
52	105	21	52	31	52782
53	111	34	29	5	56821
54	109	30	35	5	6519
55	89	34	30	4	5756
56	113	39	40	1	45485
57	117	47	52	5	5948
58	95	21	37	16	11135
59	83	47	37	10	33926
60	87	39	31	8	21364
61	83	47	45	2	17335
62	99	12	25	13	9439
63	107	25	27	2	11595
64	85	43	50	7	14214
65	103	17	20	3	20633
66	113	39	32	7	7248
67	97	17	17	0	21239
68	111	34	31	3	9250
69	119	52	42	10	15537
70	95	21	20	1	10354
71	101	12	11	1	6364
72	91	30	31	1	5659
73	117	47	45	2	24577
74	93	25	23	2	33335
75	87	39	33	6	21804
76	115	43	40	3	11801
77	89	34	30	4	4886
78	109	30	30	0	3519
79	81	52	51	1	5958
80	105	21	20	1	6750
81	107	25	25	0	13886
82	97	17	15	2	34971
83	91	30	32	2	26250
84	117	47	45	2	34339
85	101	12	12	0	7528
86	85	43	40	3	16371
87	119	52	52	0	7409
88	105	21	20	1	5251
89	99	12	11	1	21145
90	93	25	23	2	40589
91	103	17	15	2	7099
92	111	34	31	3	4080
93	113	39	38	1	10269
94	89	34	34	0	3616
95	87	39	35	4	24630
96	83	47	41	6	3322
97	109	30	30	0	2601
98	115	43	43	0	17794
99	95	21	21	0	9813
100	81	52	43	9	11556
101	93	25	25	0	20142
102	109	30	30	0	2387
103	119	52	52	0	7335
104	105	21	20	1	4857
105	87	39	40	1	13538
106	97	17	20	3	11676
107	83	47	45	2	18692
108	107	25	25	0	10797
109	113	39	40	1	12966
110	117	47	50	3	9717
111	103	17	17	0	8254
112	115	43	42	1	9688
113	95	21	21	0	10081
114	91	30	32	2	11234
115	111	34	32	2	5067
116	81	52	51	1	12965
117	101	12	12	0	6091
118	85	43	43	0	13628
119	99	12	10	2	8575
120	89	34	35	1	8599
121	111	34	32	2	8558
122	119	52	52	0	6848
123	85	43	43	0	5948
124	81	52	52	0	8641
125	95	21	23	2	22053
126	107	25	21	4	14632
127	117	47	45	2	11313
128	101	12	12	0	6686
129	115	43	43	0	20457
130	89	34	34	0	3653
131	93	25	26	1	13270
132	83	47	45	2	6846
133	113	39	43	4	5951
134	105	21	21	0	13148
135	109	30	30	0	9296
136	97	17	21	4	12630
137	91	30	34	4	4618
138	103	17	18	1	12684
139	87	39	35	4	12200
140	99	12	12	0	4230
141	103	17	16	1	24133
142	91	30	33	3	6089
143	107	25	25	0	8756
144	87	39	38	1	20372
145	89	34	34	0	3377
146	113	39	43	4	7190
147	119	52	52	0	9218
148	105	21	23	2	5620
149	83	47	45	2	12087
150	111	34	34	0	14423
151	109	30	30	0	1709
152	95	21	23	2	21224
153	117	47	46	1	9737
154	85	43	43	0	4608
155	101	12	14	2	8249
156	93	25	26	1	9163
157	115	43	43	0	4419
158	99	12	12	0	7097
159	81	52	52	0	9968
160	97	17	21	4	6008
161	91	30	34	4	6494
162	93	25	23	2	19006
163	107	25	25	0	19296
164	99	12	12	0	4167
165	89	34	34	0	3487
166	113	39	40	1	21181
167	85	43	43	0	12954
168	83	47	45	2	14135
169	97	17	17	0	15120
170	105	21	21	0	5365
171	103	17	17	0	14969
172	109	30	30	0	2488
173	87	39	38	1	23741
174	95	21	21	0	10881
175	119	52	52	0	7946
176	81	52	52	0	6769
177	101	12	13	1	12910
178	115	43	43	0	7980
179	111	34	30	4	11825
180	117	47	47	0	12497
181	107	25	21	4	13967
182	109	30	30	0	1988
183	95	21	21	0	9166
184	91	30	34	4	4031
185	81	52	52	0	7387
186	113	39	40	1	9209
187	99	12	12	0	3177
188	85	43	43	0	8061
189	115	43	43	0	6233
190	119	52	52	0	5749
191	87	39	35	4	11092
192	117	47	48	1	12846
193	103	17	18	1	10735
194	93	25	24	1	15162
195	83	47	46	1	8152
196	97	17	17	0	9802
197	89	34	34	0	5440
198	105	21	21	0	4311
199	101	12	12	0	4681
200	111	34	32	2	6895
1	53	113	89	24	59836
2	79	56	52	4	8551
3	137	91	68	23	19077
4	133	83	76	7	10796
5	141	100	92	8	27993
6	114	41	43	2	8623
7	73	69	72	3	10587
8	51	118	120	2	7896
9	125	65	62	3	18547
10	100	10	12	2	3820
11	143	105	110	5	13824
12	75	65	62	3	12998
13	84	45	44	1	7944
14	61	96	110	14	11283
15	127	69	57	12	14668
16	65	87	110	23	10350
17	57	105	114	9	4827
18	71	74	70	4	10084
19	135	87	100	13	7495
20	67	83	100	17	5431
21	108	28	27	1	17558
22	145	109	120	11	3357
23	59	100	120	20	4440
24	69	78	90	12	9468
25	120	54	52	2	7998
26	77	61	72	11	10810
27	149	118	180	62	5097
28	55	109	130	21	3931
29	139	96	90	6	4195
30	129	74	110	36	5244
31	123	61	63	2	9287
32	131	78	90	12	3225
33	63	91	90	1	5706
34	147	113	110	3	3592
35	121	56	55	1	9680
36	92	28	25	3	10973
