Participant 267_training	; Experiment run on 2018-01-12T14:31:40.063126
Trial	Input	Output	Predict	Error	RT
1	107	25	22	3	44038
2	91	30	41	11	22404
3	83	47	50	3	42627
4	111	34	18	16	11679
5	93	25	30	5	17848
6	117	47	16	31	29346
7	87	39	44	5	17123
8	105	21	28	7	14905
9	95	21	34	13	13986
10	109	30	24	6	11617
11	85	43	23	20	9967
12	101	12	33	21	5672
13	97	17	30	13	4556
14	115	43	18	25	15934
15	81	52	53	1	22226
16	119	52	14	38	7918
17	89	34	43	9	9565
18	103	17	30	13	13899
19	99	12	33	21	4879
20	113	39	40	1	7848
21	81	52	23	29	10469
22	99	12	53	41	8459
23	83	47	42	5	15228
24	93	25	38	13	7750
25	101	12	28	16	13552
26	105	21	10	11	3622
27	85	43	56	13	9806
28	119	52	20	32	5866
29	117	47	46	1	7557
30	115	43	45	2	7551
31	111	34	36	2	8411
32	103	17	42	25	6305
33	91	30	23	7	7982
34	97	17	44	27	7939
35	113	39	53	14	7748
36	87	39	24	15	9972
37	95	21	35	14	14866
38	107	25	23	2	6087
39	109	30	17	13	7576
40	89	34	37	3	6758
41	101	12	27	15	6966
42	93	25	35	10	7579
43	91	30	14	16	5993
44	99	12	38	26	4640
45	103	17	37	20	8237
46	115	43	37	6	5149
47	81	52	23	29	11649
48	119	52	58	6	5112
49	97	17	27	10	6638
50	107	25	16	9	5562
51	85	43	21	22	5953
52	105	21	36	15	4143
53	111	34	35	1	4644
54	109	30	44	14	5078
55	89	34	23	11	6196
56	113	39	42	3	3919
57	117	47	47	0	3537
58	95	21	38	17	7272
59	83	47	19	28	3961
60	87	39	37	2	4523
61	83	47	48	1	7359
62	99	12	36	24	6454
63	107	25	28	3	3551
64	85	43	38	5	3929
65	103	17	19	2	3624
66	113	39	43	4	4525
67	97	17	19	2	4748
68	111	34	39	5	3689
69	119	52	53	1	7802
70	95	21	15	6	12722
71	101	12	21	9	13067
72	91	30	28	2	5023
73	117	47	45	2	4937
74	93	25	18	7	5599
75	87	39	33	6	5514
76	115	43	56	13	5294
77	89	34	28	6	4162
78	109	30	33	3	5561
79	81	52	44	8	3911
80	105	21	17	4	5154
81	107	25	23	2	6197
82	97	17	25	8	6568
83	91	30	29	1	5654
84	117	47	43	4	5467
85	101	12	23	11	5175
86	85	43	39	4	6814
87	119	52	57	5	4029
88	105	21	42	21	3586
89	99	12	18	6	4318
90	93	25	25	0	4875
91	103	17	16	1	4946
92	111	34	38	4	3829
93	113	39	48	9	3833
94	89	34	33	1	6190
95	87	39	39	0	13881
96	83	47	44	3	4114
97	109	30	18	12	6472
98	115	43	39	4	4329
99	95	21	28	7	4491
100	81	52	43	9	4643
101	93	25	28	3	8446
102	109	30	28	2	5737
103	119	52	43	9	6285
104	105	21	18	3	3892
105	87	39	30	9	5597
106	97	17	18	1	3843
107	83	47	48	1	6166
108	107	25	35	10	4908
109	113	39	42	3	3314
110	117	47	47	0	4343
111	103	17	25	8	6197
112	115	43	47	4	4745
113	95	21	25	4	5776
114	91	30	34	4	6606
115	111	34	42	8	4640
116	81	52	51	1	4929
117	101	12	19	7	3884
118	85	43	46	3	8796
119	99	12	11	1	4711
120	89	34	24	10	4048
121	111	34	38	4	5623
122	119	52	47	5	3178
123	85	43	41	2	6114
124	81	52	53	1	3611
125	95	21	21	0	7093
126	107	25	22	3	10141
127	117	47	45	2	4603
128	101	12	14	2	3931
129	115	43	38	5	3740
130	89	34	31	3	4313
131	93	25	26	1	3699
132	83	47	43	4	7956
133	113	39	46	7	3871
134	105	21	25	4	5953
135	109	30	32	2	3180
136	97	17	17	0	4836
137	91	30	31	1	3373
138	103	17	15	2	6062
139	87	39	39	0	6060
140	99	12	13	1	4394
141	103	17	12	5	9526
142	91	30	28	2	5239
143	107	25	27	2	5625
144	87	39	37	2	5102
145	89	34	32	2	6126
146	113	39	42	3	3965
147	119	52	52	0	3116
148	105	21	27	6	5285
149	83	47	44	3	4958
150	111	34	38	4	4054
151	109	30	28	2	7004
152	95	21	25	4	5940
153	117	47	48	1	3364
154	85	43	47	4	6420
155	101	12	12	0	3384
156	93	25	25	0	4003
157	115	43	46	3	3950
158	99	12	14	2	7234
159	81	52	48	4	10630
160	97	17	18	1	3316
161	91	30	29	1	4942
162	93	25	26	1	3622
163	107	25	23	2	5363
164	99	12	14	2	7767
165	89	34	29	5	3557
166	113	39	45	6	6830
167	85	43	37	6	4216
168	83	47	48	1	3450
169	97	17	19	2	5795
170	105	21	17	4	6125
171	103	17	15	2	7020
172	109	30	21	9	3401
173	87	39	35	4	5352
174	95	21	22	1	11692
175	119	52	52	0	3467
176	81	52	53	1	3915
177	101	12	11	1	2352
178	115	43	48	5	6549
179	111	34	34	0	3553
180	117	47	46	1	4237
181	107	25	34	9	5960
182	109	30	31	1	5928
183	95	21	21	0	3913
184	91	30	32	2	3941
185	81	52	52	0	6796
186	113	39	42	3	4638
187	99	12	11	1	18960
188	85	43	41	2	7660
189	115	43	41	2	3527
190	119	52	53	1	3217
191	87	39	42	3	11817
192	117	47	47	0	3767
193	103	17	14	3	5757
194	93	25	28	3	7842
195	83	47	39	8	4232
196	97	17	19	2	5252
197	89	34	31	3	3523
198	105	21	19	2	4699
199	101	12	13	1	3625
200	111	34	38	4	3623
1	53	113	78	35	18803
2	79	56	52	4	3880
3	137	91	82	9	14245
4	133	83	73	10	8601
5	141	100	82	18	11694
6	114	41	48	7	6679
7	73	69	58	11	6716
8	51	118	73	45	6000
9	125	65	62	3	9141
10	100	10	12	2	3848
11	143	105	93	12	6370
12	75	65	65	0	14195
13	84	45	47	2	5508
14	61	96	77	19	10550
15	127	69	59	10	12709
16	65	87	81	6	13122
17	57	105	93	12	10838
18	71	74	75	1	7265
19	135	87	68	19	22325
20	67	83	103	20	8266
21	108	28	30	2	7984
22	145	109	98	11	5875
23	59	100	89	11	9372
24	69	78	67	11	7776
25	120	54	58	4	4679
26	77	61	63	2	4238
27	149	118	84	34	8079
28	55	109	91	18	23047
29	139	96	91	5	6445
30	129	74	71	3	5159
31	123	61	58	3	5994
32	131	78	64	14	7289
33	63	91	73	18	10091
34	147	113	91	22	11343
35	121	56	54	2	4622
36	92	28	26	2	8974
