Participant 220_training	; Experiment run on 2017-09-14T14:07:10.859433
Trial	Input	Output	Predict	Error	RT
1	107	25	70	45	11874
2	91	30	14	16	14490
3	83	47	22	25	17863
4	111	34	52	18	11071
5	93	25	32	7	9804
6	117	47	63	16	13972
7	87	39	27	12	17448
8	105	21	43	22	16283
9	95	21	23	2	14945
10	109	30	20	10	9375
11	85	43	21	22	10646
12	101	12	28	16	8047
13	97	17	10	7	5493
14	115	43	11	32	10189
15	81	52	20	32	19063
16	119	52	32	20	8925
17	89	34	30	4	5078
18	103	17	32	15	11227
19	99	12	12	0	5423
20	113	39	11	28	7212
21	81	52	40	12	14755
22	99	12	18	6	11015
23	83	47	28	19	10294
24	93	25	28	3	9708
25	101	12	20	8	9959
26	105	21	40	19	7884
27	85	43	40	3	13192
28	119	52	40	12	5762
29	117	47	48	1	6783
30	115	43	37	6	7196
31	111	34	32	2	11349
32	103	17	32	15	8634
33	91	30	30	0	3655
34	97	17	32	15	8185
35	113	39	28	11	9678
36	87	39	37	2	11922
37	95	21	30	9	10596
38	107	25	27	2	11724
39	109	30	40	10	8778
40	89	34	30	4	3753
41	101	12	32	20	9899
42	93	25	32	7	13090
43	91	30	31	1	5333
44	99	12	10	2	3453
45	103	17	14	3	5194
46	115	43	40	3	6851
47	81	52	12	40	9841
48	119	52	42	10	11203
49	97	17	22	5	6906
50	107	25	30	5	11695
51	85	43	26	17	7445
52	105	21	17	4	14121
53	111	34	17	17	5571
54	109	30	17	13	8244
55	89	34	30	4	3528
56	113	39	22	17	14228
57	117	47	44	3	6200
58	95	21	26	5	8450
59	83	47	33	14	11420
60	87	39	48	9	6013
61	83	47	42	5	8692
62	99	12	11	1	4689
63	107	25	14	11	6072
64	85	43	53	10	6371
65	103	17	13	4	8971
66	113	39	23	16	7740
67	97	17	27	10	9312
68	111	34	20	14	7530
69	119	52	33	19	11336
70	95	21	24	3	7332
71	101	12	11	1	5049
72	91	30	31	1	4922
73	117	47	50	3	5715
74	93	25	32	7	4981
75	87	39	32	7	9276
76	115	43	48	5	9684
77	89	34	30	4	3512
78	109	30	12	18	5550
79	81	52	50	2	4320
80	105	21	9	12	9183
81	107	25	14	11	12235
82	97	17	27	10	9359
83	91	30	30	0	3608
84	117	47	40	7	11248
85	101	12	20	8	4505
86	85	43	37	6	7203
87	119	52	50	2	4770
88	105	21	22	1	8922
89	99	12	20	8	3874
90	93	25	27	2	6367
91	103	17	12	5	7857
92	111	34	19	15	5474
93	113	39	32	7	6847
94	89	34	33	1	17298
95	87	39	38	1	10744
96	83	47	38	9	12272
97	109	30	30	0	14697
98	115	43	40	3	9042
99	95	21	20	1	9277
100	81	52	40	12	4591
101	93	25	26	1	8531
102	109	30	32	2	20585
103	119	52	50	2	4479
104	105	21	26	5	23537
105	87	39	35	4	8814
106	97	17	19	2	16581
107	83	47	37	10	5966
108	107	25	28	3	18738
109	113	39	37	2	9782
110	117	47	43	4	16014
111	103	17	25	8	18620
112	115	43	40	3	7258
113	95	21	25	4	8379
114	91	30	30	0	4213
115	111	34	30	4	8038
116	81	52	50	2	3995
117	101	12	20	8	6933
118	85	43	40	3	8994
119	99	12	20	8	5969
120	89	34	30	4	3221
121	111	34	30	4	8788
122	119	52	50	2	3280
123	85	43	38	5	11832
124	81	52	50	2	4051
125	95	21	25	4	5955
126	107	25	25	0	17340
127	117	47	46	1	7595
128	101	12	20	8	7579
129	115	43	43	0	17251
130	89	34	34	0	4526
131	93	25	26	1	6603
132	83	47	47	0	7511
133	113	39	34	5	14099
134	105	21	13	8	7487
135	109	30	34	4	7002
136	97	17	23	6	13166
137	91	30	33	3	6537
138	103	17	22	5	10757
139	87	39	40	1	9281
140	99	12	12	0	9500
141	103	17	12	5	17308
142	91	30	30	0	2762
143	107	25	23	2	13614
144	87	39	44	5	10940
145	89	34	34	0	5122
146	113	39	36	3	9751
147	119	52	50	2	4822
148	105	21	20	1	11448
149	83	47	42	5	16755
150	111	34	30	4	6144
151	109	30	30	0	4815
152	95	21	20	1	10616
153	117	47	43	4	8327
154	85	43	42	1	8907
155	101	12	12	0	9121
156	93	25	26	1	11960
157	115	43	40	3	5023
158	99	12	10	2	6373
159	81	52	48	4	5605
160	97	17	20	3	9433
161	91	30	30	0	6557
162	93	25	27	2	7844
163	107	25	23	2	11951
164	99	12	10	2	6541
165	89	34	34	0	7259
166	113	39	42	3	7423
167	85	43	40	3	7959
168	83	47	54	7	6876
169	97	17	20	3	6358
170	105	21	22	1	9789
171	103	17	20	3	8431
172	109	30	33	3	5997
173	87	39	41	2	8165
174	95	21	20	1	7200
175	119	52	50	2	3834
176	81	52	48	4	8643
177	101	12	11	1	8621
178	115	43	40	3	6307
179	111	34	33	1	3680
180	117	47	37	10	12225
181	107	25	22	3	14772
182	109	30	31	1	6095
183	95	21	20	1	6473
184	91	30	30	0	3323
185	81	52	50	2	5198
186	113	39	33	6	6259
187	99	12	11	1	4370
188	85	43	38	5	9603
189	115	43	43	0	6678
190	119	52	51	1	5064
191	87	39	40	1	15694
192	117	47	45	2	7807
193	103	17	12	5	14392
194	93	25	26	1	7928
195	83	47	43	4	10828
196	97	17	20	3	8785
197	89	34	33	1	3473
198	105	21	20	1	7887
199	101	12	12	0	4693
200	111	34	32	2	4778
1	53	113	18	95	20327
2	79	56	49	7	5677
3	137	91	22	69	44273
4	133	83	27	56	22193
5	141	100	12	88	13367
6	114	41	40	1	15642
7	73	69	37	32	20848
8	51	118	13	105	10207
9	125	65	40	25	6547
10	100	10	10	0	19661
11	143	105	14	91	12802
12	75	65	40	25	9641
13	84	45	40	5	9399
14	61	96	12	84	15897
15	127	69	42	27	8741
16	65	87	20	67	9622
17	57	105	20	85	15306
18	71	74	30	44	8306
19	135	87	20	67	17981
20	67	83	22	61	9510
21	108	28	27	1	13555
22	145	109	20	89	10258
23	59	100	10	90	8388
24	69	78	30	48	6235
25	120	54	50	4	4016
26	77	61	44	17	14977
27	149	118	30	88	8515
28	55	109	21	88	9003
29	139	96	10	86	5864
30	129	74	30	44	6513
31	123	61	46	15	8918
32	131	78	30	48	5158
33	63	91	15	76	14233
34	147	113	25	88	12074
35	121	56	50	6	5353
36	92	28	30	2	5387
