Participant 311_training	; Experiment run on 2018-06-03T15:04:50.117259
Trial	Input	Output	Predict	Error	RT
1	107	25	150	125	11787
2	91	30	20	10	8191
3	83	47	27	20	33158
4	111	34	20	14	23448
5	93	25	31	6	9971
6	117	47	35	12	19726
7	87	39	27	12	24008
8	105	21	25	4	21262
9	95	21	15	6	19013
10	109	30	30	0	8540
11	85	43	10	33	12324
12	101	12	25	13	8120
13	97	17	17	0	7878
14	115	43	55	12	7909
15	81	52	40	12	5910
16	119	52	80	28	6637
17	89	34	50	16	4181
18	103	17	36	19	6106
19	99	12	15	3	6143
20	113	39	24	15	7758
21	81	52	20	32	7532
22	99	12	30	18	6296
23	83	47	40	7	21318
24	93	25	30	5	18046
25	101	12	30	18	6534
26	105	21	32	11	7673
27	85	43	30	13	10798
28	119	52	80	28	4102
29	117	47	10	37	8728
30	115	43	30	13	3462
31	111	34	40	6	2308
32	103	17	25	8	4335
33	91	30	10	20	2501
34	97	17	33	16	4877
35	113	39	40	1	8083
36	87	39	20	19	3429
37	95	21	40	19	3818
38	107	25	40	15	3776
39	109	30	38	8	4113
40	89	34	30	4	2423
41	101	12	33	21	4559
42	93	25	30	5	5772
43	91	30	30	0	2294
44	99	12	30	18	2565
45	103	17	25	8	3728
46	115	43	30	13	1418
47	81	52	10	42	1784
48	119	52	10	42	1913
49	97	17	40	23	2719
50	107	25	30	5	3704
51	85	43	20	23	2420
52	105	21	30	9	2368
53	111	34	40	6	2533
54	109	30	39	9	7294
55	89	34	16	18	5122
56	113	39	10	29	2238
57	117	47	23	24	3646
58	95	21	33	12	4164
59	83	47	30	17	3445
60	87	39	43	4	6188
61	83	47	20	27	4757
62	99	12	32	20	2882
63	107	25	26	1	4626
64	85	43	43	0	4303
65	103	17	33	16	4133
66	113	39	8	31	5756
67	97	17	31	14	4110
68	111	34	42	8	3846
69	119	52	40	12	3539
70	95	21	17	4	4168
71	101	12	47	35	6093
72	91	30	31	1	4747
73	117	47	17	30	6567
74	93	25	30	5	6093
75	87	39	36	3	4101
76	115	43	40	3	5278
77	89	34	24	10	8523
78	109	30	15	15	6276
79	81	52	44	8	6036
80	105	21	44	23	5295
81	107	25	42	17	4261
82	97	17	38	21	5079
83	91	30	32	2	4197
84	117	47	20	27	7301
85	101	12	14	2	4434
86	85	43	45	2	7021
87	119	52	15	37	6203
88	105	21	42	21	4688
89	99	12	17	5	5170
90	93	25	21	4	6903
91	103	17	22	5	4392
92	111	34	24	10	6258
93	113	39	20	19	6881
94	89	34	29	5	4302
95	87	39	33	6	3518
96	83	47	28	19	4265
97	109	30	23	7	4213
98	115	43	46	3	7024
