Participant 273_training	; Experiment run on 2018-01-25T15:00:05.573878
Trial	Input	Output	Predict	Error	RT
1	107	25	107	82	22729
2	91	30	45	15	24082
3	83	47	27	20	46169
4	111	34	10	24	30336
5	93	25	32	7	17710
6	117	47	43	4	25496
7	87	39	25	14	8542
8	105	21	40	19	14224
9	95	21	30	9	24871
10	109	30	30	0	10751
11	85	43	25	18	44088
12	101	12	30	18	15417
13	97	17	20	3	12896
14	115	43	35	8	8235
15	81	52	20	32	12561
16	119	52	10	42	11251
17	89	34	40	6	12117
18	103	17	30	13	8845
19	99	12	30	18	4137
20	113	39	21	18	20467
21	81	52	22	30	7838
22	99	12	47	35	7376
23	83	47	23	24	5235
24	93	25	34	9	12534
25	101	12	43	31	11126
26	105	21	12	9	4118
27	85	43	38	5	9392
28	119	52	20	32	6017
29	117	47	10	37	6061
30	115	43	39	4	3877
31	111	34	42	8	7108
32	103	17	39	22	7504
33	91	30	32	2	7983
34	97	17	32	15	5063
35	113	39	41	2	9315
36	87	39	23	16	15169
37	95	21	37	16	19051
38	107	25	26	1	10621
39	109	30	30	0	10998
40	89	34	15	19	14828
41	101	12	40	28	3888
42	93	25	20	5	2416
43	91	30	23	7	3495
44	99	12	35	23	7489
45	103	17	33	16	7210
46	115	43	17	26	4020
47	81	52	30	22	4263
48	119	52	14	38	3064
49	97	17	39	22	4206
50	107	25	22	3	2839
51	85	43	35	8	5030
52	105	21	25	4	7285
53	111	34	25	9	8944
54	109	30	24	6	4199
55	89	34	27	7	3767
56	113	39	26	13	6747
57	117	47	29	18	4809
58	95	21	35	14	8628
59	83	47	20	27	4786
60	87	39	15	24	2433
61	83	47	30	17	4080
62	99	12	20	8	1802
63	107	25	27	2	5239
64	85	43	23	20	5030
65	103	17	24	7	4203
66	113	39	43	4	6439
67	97	17	14	3	6205
68	111	34	43	9	5633
69	119	52	17	35	4575
70	95	21	29	8	5033
71	101	12	35	23	5661
72	91	30	40	10	2283
73	117	47	22	25	6983
74	93	25	30	5	1906
75	87	39	17	22	2505
76	115	43	32	11	2761
77	89	34	19	15	4012
78	109	30	22	8	4647
79	81	52	21	31	4202
80	105	21	37	16	3791
81	107	25	36	11	6582
82	97	17	25	8	6569
83	91	30	42	12	3858
84	117	47	39	8	4148
85	101	12	33	21	7769
86	85	43	30	13	5902
87	119	52	27	25	3815
88	105	21	26	5	6146
89	99	12	21	9	3755
90	93	25	26	1	6130
91	103	17	24	7	6851
92	111	34	25	9	4488
93	113	39	31	8	5685
94	89	34	33	1	7582
95	87	39	31	8	5548
96	83	47	22	25	4980
97	109	30	20	10	4367
98	115	43	32	11	4818
99	95	21	43	22	6586
100	81	52	33	19	6272
101	93	25	31	6	5976
102	109	30	37	7	7012
103	119	52	44	8	4877
104	105	21	39	18	5466
105	87	39	41	2	5409
106	97	17	23	6	5125
107	83	47	20	27	6749
108	107	25	27	2	3171
109	113	39	39	0	4216
110	117	47	28	19	3105
111	103	17	27	10	2407
112	115	43	23	20	3223
113	95	21	38	17	4114
114	91	30	42	12	4485
115	111	34	34	0	4218
116	81	52	28	24	3016
117	101	12	39	27	3316
118	85	43	32	11	2865
119	99	12	41	29	3055
120	89	34	29	5	5439
121	111	34	23	11	6303
122	119	52	22	30	5279
123	85	43	35	8	2946
124	81	52	25	27	2727
125	95	21	43	22	4877
126	107	25	39	14	3004
127	117	47	45	2	4549
128	101	12	36	24	4359
129	115	43	50	7	2204
130	89	34	43	9	4951
131	93	25	20	5	3690
132	83	47	12	35	2461
133	113	39	36	3	3511
134	105	21	44	23	6415
135	109	30	33	3	2618
136	97	17	29	12	3700
137	91	30	30	0	2442
138	103	17	38	21	6522
139	87	39	12	27	1843
140	99	12	26	14	3963
141	103	17	30	13	4719
142	91	30	27	3	3876
143	107	25	19	6	1777
144	87	39	38	1	3894
145	89	34	32	2	3757
146	113	39	46	7	5274
147	119	52	22	30	9825
148	105	21	34	13	2026
149	83	47	44	3	2544
150	111	34	36	2	6600
151	109	30	21	9	4884
152	95	21	28	7	5914
153	117	47	39	8	6007
154	85	43	25	18	6637
155	101	12	31	19	4003
156	93	25	37	12	7034
157	115	43	38	5	6528
158	99	12	37	25	4913
159	81	52	22	30	2102
160	97	17	34	17	6909
161	91	30	34	4	6362
162	93	25	41	16	6005
163	107	25	47	22	6338
164	99	12	37	25	3841
165	89	34	38	4	4016
166	113	39	35	4	8955
167	85	43	17	26	1944
168	83	47	45	2	4096
169	97	17	32	15	4154
170	105	21	17	4	8584
171	103	17	21	4	4236
172	109	30	20	10	4586
173	87	39	35	4	4158
174	95	21	45	24	4995
175	119	52	27	25	2680
176	81	52	17	35	2747
177	101	12	28	16	7361
178	115	43	32	11	4069
179	111	34	35	1	5121
180	117	47	45	2	4432
181	107	25	38	13	7503
182	109	30	28	2	6609
183	95	21	27	6	5024
184	91	30	28	2	3205
185	81	52	19	33	2709
186	113	39	45	6	7091
187	99	12	40	28	8489
188	85	43	41	2	4499
189	115	43	49	6	7563
190	119	52	51	1	4464
191	87	39	31	8	2978
192	117	47	47	0	4580
193	103	17	46	29	4031
194	93	25	35	10	3558
195	83	47	22	25	7134
196	97	17	46	29	3304
197	89	34	20	14	2880
198	105	21	47	26	3278
199	101	12	38	26	6748
200	111	34	33	1	3774
1	53	113	52	61	9690
2	79	56	42	14	4049
3	137	91	18	73	6221
4	133	83	38	45	3680
5	141	100	32	68	4248
6	114	41	45	4	3608
7	73	69	30	39	2639
8	51	118	17	101	1839
9	125	65	51	14	3270
10	100	10	42	32	2975
11	143	105	26	79	2227
12	75	65	20	45	1837
13	84	45	41	4	2752
14	61	96	31	65	2286
15	127	69	28	41	2290
16	65	87	30	57	3765
17	57	105	10	95	1637
18	71	74	29	45	4279
19	135	87	35	52	5955
20	67	83	15	68	3173
21	108	28	51	23	3474
22	145	109	33	76	2353
23	59	100	16	84	1969
24	69	78	34	44	2430
25	120	54	55	1	6538
26	77	61	20	41	1294
27	149	118	19	99	2016
28	55	109	30	79	1178
29	139	96	45	51	2998
30	129	74	28	46	2415
31	123	61	20	41	2017
32	131	78	56	22	4926
33	63	91	20	71	1709
34	147	113	50	63	3194
35	121	56	22	34	3286
36	92	28	46	18	2980
