Participant 310_training	; Experiment run on 2018-04-20T15:23:31.147000				
Trial	Input	Output	Predict	Error	RT
1	107	25	52	27	16734
2	91	30	22	8	11298
3	83	47	27	20	19207
4	111	34	20	14	10492
5	93	25	37	12	14263
6	117	47	20	27	6771
7	87	39	43	4	10613
8	105	21	34	13	8485
9	95	21	30	9	6992
10	109	30	32	2	9256
11	85	43	49	6	7596
12	101	12	33	21	7792
13	97	17	40	23	12044
14	115	43	20	23	8736
15	81	52	46	6	7176
16	119	52	60	8	5797
17	89	34	30	4	3385
18	103	17	50	33	10587
19	99	12	23	11	5627
20	113	39	20	19	3822
21	81	52	40	12	10150
22	99	12	20	8	6149
23	83	47	20	27	5043
24	93	25	30	5	3925
25	101	12	40	28	6908
26	105	21	15	6	15657
27	85	43	35	8	7337
28	119	52	50	2	4676
29	117	47	50	3	3327
30	115	43	40	3	3972
31	111	34	29	5	5667
32	103	17	25	8	4583
33	91	30	30	0	3022
34	97	17	21	4	8231
35	113	39	40	1	11193
36	87	39	40	1	10738
37	95	21	36	15	5352
38	107	25	33	8	6768
39	109	30	24	6	9695
40	89	34	30	4	2872
41	101	12	43	31	12403
42	93	25	34	9	7251
43	91	30	30	0	13013
44	99	12	50	38	13311
45	103	17	20	3	4747
46	115	43	26	17	11664
47	81	52	40	12	3638
48	119	52	50	2	6560
49	97	17	50	33	2609
50	107	25	26	1	3995
51	85	43	40	3	3028
52	105	21	25	4	8368
53	111	34	30	4	2571
54	109	30	40	10	2124
55	89	34	30	4	3384
56	113	39	25	14	4408
57	117	47	38	9	4593
58	95	21	30	9	2336
59	83	47	40	7	2815
60	87	39	50	11	4772
61	83	47	30	17	7492
62	99	12	40	28	12103
63	107	25	50	25	3919
64	85	43	40	3	2787
65	103	17	26	9	3623
66	113	39	20	19	4480
67	97	17	50	33	2094
68	111	34	40	6	2333
69	119	52	30	22	2522
70	95	21	40	19	3018
71	101	12	40	28	1856
72	91	30	30	0	4049
73	117	47	20	27	3493
74	93	25	50	25	3995
75	87	39	33	6	6021
76	115	43	40	3	4735
77	89	34	30	4	2740
78	109	30	40	10	3314
79	81	52	40	12	2992
80	105	21	40	19	3371
81	107	25	25	0	9316
82	97	17	30	13	3471
83	91	30	30	0	1970
84	117	47	50	3	5260
85	101	12	22	10	7717
86	85	43	50	7	4153
87	119	52	54	2	4994
88	105	21	25	4	4314
89	99	12	47	35	4698
90	93	25	30	5	4438
91	103	17	40	23	7504
92	111	34	45	11	5131
93	113	39	45	6	5622
94	89	34	30	4	3123
95	87	39	50	11	2700
96	83	47	35	12	7377
97	109	30	40	10	2900
98	115	43	50	7	3085
99	95	21	38	17	5721
100	81	52	36	16	3713
101	93	25	34	9	6523
102	109	30	47	17	7675
103	119	52	45	7	4868
104	105	21	25	4	5698
105	87	39	42	3	8449
106	97	17	40	23	2166
107	83	47	30	17	1647
108	107	25	26	1	12225
109	113	39	28	11	6493
110	117	47	46	1	3195
111	103	17	33	16	5151
112	115	43	46	3	5411
113	95	21	30	9	2358
114	91	30	30	0	2160
115	111	34	42	8	7341
116	81	52	38	14	5631
117	101	12	20	8	3742
118	85	43	50	7	3555
119	99	12	12	0	4834
120	89	34	30	4	1997
121	111	34	43	9	10164
122	119	52	46	6	3548
123	85	43	28	15	3610
124	81	52	48	4	3292
125	95	21	38	17	5595
126	107	25	25	0	4334
127	117	47	40	7	5936
128	101	12	30	18	5310
129	115	43	50	7	4919
130	89	34	30	4	6981
131	93	25	38	13	8568
132	83	47	43	4	5052
133	113	39	46	7	5260
134	105	21	25	4	5660
135	109	30	40	10	7297
136	97	17	50	33	3896
137	91	30	30	0	4832
138	103	17	14	3	5669
139	87	39	30	9	7737
140	99	12	20	8	5590
141	103	17	30	13	8779
142	91	30	30	0	2732
143	107	25	25	0	9275
144	87	39	39	0	5036
145	89	34	33	1	9654
146	113	39	50	11	6721
147	119	52	50	2	2910
148	105	21	25	4	4623
149	83	47	42	5	7288
150	111	34	40	6	5251
151	109	30	45	15	3715
152	95	21	30	9	4309
153	117	47	40	7	6344
154	85	43	30	13	3253
155	101	12	12	0	12381
156	93	25	33	8	8500
157	115	43	46	3	4883
158	99	12	33	21	5557
159	81	52	38	14	3380
160	97	17	34	17	4591
161	91	30	30	0	2739
162	93	25	36	11	6686
163	107	25	25	0	5811
164	99	12	16	4	8705
165	89	34	34	0	4727
166	113	39	47	8	7256
167	85	43	51	8	9375
168	83	47	35	12	4449
169	97	17	12	5	5915
170	105	21	25	4	6782
171	103	17	25	8	8235
172	109	30	25	5	5833
173	87	39	48	9	7110
174	95	21	20	1	3859
175	119	52	50	2	4079
176	81	52	44	8	6360
177	101	12	17	5	6440
178	115	43	30	13	3465
179	111	34	12	22	6287
180	117	47	50	3	4145
181	107	25	25	0	12204
182	109	30	21	9	4199
183	95	21	30	9	3724
184	91	30	30	0	2635
185	81	52	38	14	6205
186	113	39	52	13	6911
187	99	12	21	9	6767
188	85	43	21	22	3776
189	115	43	43	0	8574
190	119	52	54	2	7970
191	87	39	40	1	3444
192	117	47	44	3	14264
193	103	17	21	4	5977
194	93	25	21	4	9784
195	83	47	52	5	6339
196	97	17	30	13	3006
197	89	34	34	0	8248
198	105	21	25	4	5351
199	101	12	18	6	9118
200	111	34	21	13	6360
1	53	113	20	93	8622
2	79	56	46	10	7978
3	137	91	70	21	6039
4	133	83	70	13	8676
5	141	100	80	20	7316
6	114	41	23	18	14182
7	73	69	52	17	6871
8	51	118	20	98	2932
9	125	65	70	5	8225
10	100	10	12	2	9185
11	143	105	80	25	3344
12	75	65	55	10	7825
13	84	45	47	2	7079
14	61	96	40	56	3660
15	127	69	70	1	3087
16	65	87	50	37	2655
17	57	105	20	85	6205
18	71	74	25	49	3793
19	135	87	76	11	3743
20	67	83	30	53	2365
21	108	28	17	11	8208
22	145	109	80	29	2676
23	59	100	10	90	3928
24	69	78	40	38	2428
25	120	54	56	2	6133
26	77	61	50	11	2872
27	149	118	90	28	4227
28	55	109	10	99	2391
29	139	96	80	16	3315
30	129	74	70	4	3248
31	123	61	70	9	4140
32	131	78	80	2	2844
33	63	91	40	51	2450
34	147	113	80	33	3374
35	121	56	70	14	4201
36	92	28	34	6	8834
