Participant 242_training	; Experiment run on 2017-10-19T13:48:18.054319
Trial	Input	Output	Predict	Error	RT
1	107	25	107	82	15652
2	91	30	180	150	31068
3	83	47	27	20	16262
4	111	34	80	46	7837
5	93	25	49	24	17565
6	117	47	50	3	4523
7	87	39	40	1	6804
8	105	21	50	29	3592
9	95	21	20	1	5227
10	109	30	22	8	7136
11	85	43	40	3	3668
12	101	12	22	10	4245
13	97	17	20	3	4104
14	115	43	15	28	5789
15	81	52	40	12	5068
16	119	52	20	32	2735
17	89	34	43	9	4909
18	103	17	30	13	6615
19	99	12	20	8	2886
20	113	39	30	9	2576
21	81	52	30	22	6859
22	99	12	30	18	3351
23	83	47	38	9	14174
24	93	25	24	1	10742
25	101	12	10	2	8219
26	105	21	50	29	5659
27	85	43	59	16	6559
28	119	52	20	32	10259
29	117	47	50	3	7006
30	115	43	50	7	2762
31	111	34	30	4	7366
32	103	17	40	23	5603
33	91	30	20	10	5527
34	97	17	75	58	9036
35	113	39	30	9	4046
36	87	39	60	21	5735
37	95	21	60	39	3939
38	107	25	30	5	4023
39	109	30	30	0	2997
40	89	34	30	4	3701
41	101	12	30	18	5028
42	93	25	30	5	2425
43	91	30	30	0	3291
44	99	12	34	22	4892
45	103	17	50	33	11452
46	115	43	20	23	4620
47	81	52	40	12	7631
48	119	52	50	2	4280
49	97	17	30	13	5360
50	107	25	20	5	3180
51	85	43	50	7	3234
52	105	21	20	1	3729
53	111	34	20	14	2936
54	109	30	40	10	4312
55	89	34	40	6	3246
56	113	39	20	19	5426
57	117	47	40	7	2262
58	95	21	40	19	2861
59	83	47	40	7	2363
60	87	39	50	11	2270
61	83	47	50	3	8356
62	99	12	20	8	1916
63	107	25	20	5	5425
64	85	43	48	5	4140
65	103	17	22	5	4358
66	113	39	20	19	3469
67	97	17	20	3	3992
68	111	34	20	14	3510
69	119	52	30	22	2943
70	95	21	30	9	2433
71	101	12	30	18	3526
72	91	30	40	10	5373
73	117	47	40	7	3197
74	93	25	45	20	6965
75	87	39	50	11	2944
76	115	43	50	7	4901
77	89	34	40	6	3521
78	109	30	40	10	6627
79	81	52	50	2	4031
80	105	21	60	39	2982
81	107	25	50	25	4653
82	97	17	40	23	5542
83	91	30	47	17	5485
84	117	47	50	3	3255
85	101	12	20	8	3830
86	85	43	45	2	5277
87	119	52	60	8	3288
88	105	21	40	19	3062
89	99	12	20	8	2812
90	93	25	36	11	5106
91	103	17	20	3	4281
92	111	34	30	4	6258
93	113	39	32	7	3203
94	89	34	40	6	3605
95	87	39	44	5	4382
96	83	47	40	7	3074
97	109	30	30	0	6328
98	115	43	50	7	3240
99	95	21	37	16	8305
100	81	52	47	5	3678
101	93	25	37	12	8413
102	109	30	40	10	3164
103	119	52	60	8	4040
104	105	21	40	19	4043
105	87	39	48	9	3922
106	97	17	34	17	5621
107	83	47	46	1	8237
108	107	25	20	5	6503
109	113	39	30	9	5253
110	117	47	45	2	4231
111	103	17	20	3	4315
112	115	43	43	0	6902
113	95	21	55	34	6113
