Participant 232_training	; Experiment run on 2017-09-28T14:50:20.942000
Trial	Input	Output	Predict	Error	RT
1	107	25	180	155	8420
2	91	30	70	40	7838
3	83	47	1	46	2437
4	111	34	51	17	6199
5	93	25	22	3	6309
6	117	47	37	10	5974
7	87	39	14	25	6431
8	105	21	36	15	8526
9	95	21	21	0	4590
10	109	30	40	10	5413
11	85	43	20	23	7702
12	101	12	40	28	4230
13	97	17	20	3	3500
14	115	43	40	3	1662
15	81	52	1	51	0
16	119	52	30	22	0
17	89	34	22	12	6040
18	103	17	40	23	2934
19	99	12	44	32	5885
20	113	39	36	3	5615
21	81	52	20	32	4412
22	99	12	60	48	2287
23	83	47	20	27	1510
24	93	25	40	15	1680
25	101	12	60	48	3120
26	105	21	31	10	3268
27	85	43	20	23	1638
28	119	52	39	13	2631
29	117	47	30	17	1845
30	115	43	40	3	2062
31	111	34	38	4	5790
32	103	17	30	13	2678
33	91	30	19	11	2317
34	97	17	30	13	1446
35	113	39	40	1	2566
36	87	39	40	1	1576
37	95	21	50	29	2349
38	107	25	20	5	982
39	109	30	30	0	1822
40	89	34	28	6	3406
41	101	12	30	18	1763
42	93	25	30	5	1302
43	91	30	20	10	1085
44	99	12	40	28	1310
45	103	17	20	3	1143
46	115	43	30	13	1125
47	81	52	50	2	1544
48	119	52	40	12	2299
49	97	17	20	3	1117
50	107	25	30	5	1854
51	85	43	40	3	1463
52	105	21	30	9	1630
53	111	34	30	4	1033
54	109	30	30	0	1318
55	89	34	30	4	1684
56	113	39	40	1	1342
57	117	47	20	27	863
58	95	21	30	9	1351
59	83	47	40	7	1446
60	87	39	40	1	2462
61	83	47	40	7	1356
62	99	12	41	29	878
63	107	25	40	15	1047
64	85	43	40	3	1333
65	103	17	40	23	1190
66	113	39	40	1	1328
67	97	17	50	33	1055
68	111	34	40	6	1168
69	119	52	40	12	1061
70	95	21	40	19	998
71	101	12	60	48	1414
72	91	30	60	30	1453
73	117	47	30	17	1199
74	93	25	40	15	1038
75	87	39	40	1	1310
76	115	43	40	3	1062
77	89	34	40	6	1047
78	109	30	40	10	1012
79	81	52	30	22	1062
80	105	21	40	19	1239
81	107	25	40	15	1595
82	97	17	40	23	1454
83	91	30	50	20	1139
84	117	47	30	17	949
85	101	12	40	28	1094
86	85	43	50	7	1416
87	119	52	40	12	1166
88	105	21	40	19	1369
89	99	12	40	28	1190
90	93	25	50	25	1150
91	103	17	40	23	1093
92	111	34	30	4	1190
93	113	39	30	9	1150
94	89	34	40	6	1325
95	87	39	40	1	1214
96	83	47	30	17	1230
97	109	30	40	10	1398
98	115	43	40	3	1405
99	95	21	40	19	1702
100	81	52	30	22	990
101	93	25	40	15	1507
102	109	30	30	0	950
103	119	52	30	22	1064
104	105	21	40	19	5261
105	87	39	40	1	1222
106	97	17	40	23	1805
107	83	47	50	3	1271
108	107	25	40	15	1095
109	113	39	40	1	1743
110	117	47	40	7	1300
111	103	17	40	23	3063
112	115	43	40	3	1373
113	95	21	40	19	1565
114	91	30	47	17	4406
115	111	34	41	7	3308
116	81	52	40	12	8094
117	101	12	50	38	1869
118	85	43	40	3	1670
119	99	12	40	28	1199
120	89	34	30	4	981
121	111	34	30	4	1219
122	119	52	40	12	1102
123	85	43	40	3	1741
124	81	52	41	11	2326
125	95	21	40	19	1792
126	107	25	30	5	1285
127	117	47	30	17	7022
128	101	12	40	28	1229
129	115	43	30	13	1158
130	89	34	40	6	1321
131	93	25	40	15	2614
132	83	47	30	17	1230
133	113	39	30	9	1254
134	105	21	40	19	1525
135	109	30	30	0	1477
136	97	17	40	23	1565
137	91	30	30	0	1198
138	103	17	30	13	925
139	87	39	30	9	1270
140	99	12	40	28	1070
141	103	17	30	13	1387
142	91	30	30	0	886
143	107	25	30	5	1326
144	87	39	40	1	1029
145	89	34	40	6	1269
146	113	39	40	1	1542
147	119	52	40	12	1270
148	105	21	50	29	1701
149	83	47	30	17	1463
150	111	34	40	6	1239
151	109	30	50	20	2045
152	95	21	30	9	966
153	117	47	40	7	1574
154	85	43	40	3	1445
155	101	12	50	38	1813
156	93	25	40	15	1198
157	115	43	40	3	1229
158	99	12	50	38	1540
159	81	52	30	22	926
160	97	17	40	23	1813
161	91	30	50	20	1611
162	93	25	40	15	1166
163	107	25	40	15	1205
164	99	12	30	18	1324
165	89	34	30	4	1430
166	113	39	30	9	1501
167	85	43	40	3	1541
168	83	47	40	7	1166
169	97	17	40	23	1366
170	105	21	30	9	1405
171	103	17	30	13	1551
172	109	30	30	0	2046
173	87	39	20	19	1829
174	95	21	30	9	950
175	119	52	30	22	1022
176	81	52	30	22	1430
177	101	12	40	28	1110
178	115	43	50	7	3119
179	111	34	41	7	4493
180	117	47	40	7	4295
181	107	25	40	15	1355
182	109	30	40	10	1189
183	95	21	30	9	1702
184	91	30	40	10	1725
185	81	52	50	2	1788
186	113	39	40	1	1622
187	99	12	40	28	1652
188	85	43	20	23	1085
189	115	43	30	13	1582
190	119	52	32	20	2805
191	87	39	40	1	1918
192	117	47	40	7	1734
193	103	17	30	13	2549
194	93	25	40	15	2438
195	83	47	30	17	1758
196	97	17	30	13	1733
197	89	34	40	6	4943
198	105	21	30	9	1486
199	101	12	20	8	1845
200	111	34	20	14	1118
1	53	113	10	103	1702
2	79	56	30	26	1762
3	137	91	60	31	2912
4	133	83	50	33	2330
5	141	100	60	40	3140
6	114	41	40	1	2408
7	73	69	20	49	1296
8	51	118	20	98	1522
9	125	65	40	25	7800
10	100	10	30	20	1473
11	143	105	30	75	1220
12	75	65	30	35	1463
13	84	45	20	25	1002
14	61	96	20	76	1145
15	127	69	50	19	1633
16	65	87	20	67	1066
17	57	105	20	85	1681
18	71	74	22	52	3249
19	135	87	60	27	7705
20	67	83	30	53	1697
21	108	28	40	12	1945
22	145	109	70	39	2914
23	59	100	20	80	1233
24	69	78	30	48	2066
25	120	54	50	4	2410
26	77	61	30	31	3225
27	149	118	30	88	1632
28	55	109	20	89	7456
29	139	96	10	86	2049
30	129	74	60	14	1857
31	123	61	40	21	1865
32	131	78	40	38	1049
33	63	91	50	41	1313
34	147	113	40	73	1250
35	121	56	60	4	3001
36	92	28	30	2	1985
