Participant 211_training	; Experiment run on 2017-09-07T14:47:53.499755
Trial	Input	Output	Predict	Error	RT
1	107	25	140	115	7165
2	91	30	10	20	4019
3	83	47	11	36	3262
4	111	34	30	4	2952
5	93	25	22	3	6487
6	117	47	42	5	5391
7	87	39	32	7	6815
8	105	21	57	36	5700
9	95	21	40	19	3572
10	109	30	10	20	2360
11	85	43	30	13	2487
12	101	12	20	8	2898
13	97	17	32	15	6558
14	115	43	12	31	9312
15	81	52	27	25	5006
16	119	52	20	32	2223
17	89	34	30	4	2125
18	103	17	22	5	2563
19	99	12	13	1	3646
20	113	39	11	28	3560
21	81	52	30	22	3737
22	99	12	15	3	3808
23	83	47	30	17	2205
24	93	25	14	11	3961
25	101	12	9	3	3189
26	105	21	20	1	3524
27	85	43	30	13	2354
28	119	52	40	12	2581
29	117	47	50	3	2154
30	115	43	50	7	3576
31	111	34	40	6	1669
32	103	17	16	1	4291
33	91	30	40	10	11565
34	97	17	11	6	3193
35	113	39	30	9	2630
36	87	39	37	2	8989
37	95	21	12	9	3306
38	107	25	10	15	2680
39	109	30	30	0	2015
40	89	34	38	4	7543
41	101	12	10	2	3871
42	93	25	27	2	3625
43	91	30	30	0	2016
44	99	12	9	3	2282
45	103	17	10	7	1568
46	115	43	40	3	2045
47	81	52	30	22	2159
48	119	52	40	12	2430
49	97	17	20	3	4749
50	107	25	30	5	2606
51	85	43	40	3	1918
52	105	21	30	9	2419
53	111	34	12	22	3157
54	109	30	30	0	1871
55	89	34	30	4	1973
56	113	39	40	1	2212
57	117	47	40	7	2597
58	95	21	30	9	2339
59	83	47	40	7	2908
60	87	39	30	9	1746
61	83	47	30	17	2864
62	99	12	10	2	1585
63	107	25	20	5	1352
64	85	43	40	3	1711
65	103	17	20	3	2286
66	113	39	40	1	1692
67	97	17	20	3	1598
68	111	34	40	6	1879
69	119	52	50	2	1429
70	95	21	30	9	3044
71	101	12	10	2	1718
72	91	30	30	0	3465
73	117	47	50	3	2414
74	93	25	30	5	1701
75	87	39	30	9	1316
76	115	43	40	3	1859
77	89	34	30	4	1417
78	109	30	10	20	1917
79	81	52	10	42	0
80	105	21	30	9	4748
81	107	25	40	15	3071
82	97	17	10	7	2066
83	91	30	30	0	2291
84	117	47	30	17	1532
85	101	12	10	2	1633
86	85	43	30	13	2343
87	119	52	30	22	1773
88	105	21	40	19	3256
89	99	12	10	2	2357
90	93	25	20	5	2410
91	103	17	12	5	3986
92	111	34	40	6	2587
93	113	39	40	1	2802
94	89	34	30	4	1533
95	87	39	40	1	1790
96	83	47	30	17	1421
97	109	30	40	10	1797
98	115	43	40	3	2601
99	95	21	20	1	2893
100	81	52	50	2	3454
101	93	25	30	5	2623
102	109	30	50	20	1964
103	119	52	40	12	1632
104	105	21	30	9	2979
105	87	39	30	9	3851
106	97	17	20	3	1843
107	83	47	30	17	1547
108	107	25	30	5	4189
109	113	39	40	1	1591
110	117	47	40	7	1821
111	103	17	18	1	6008
112	115	43	40	3	2352
113	95	21	20	1	1679
114	91	30	30	0	1485
115	111	34	11	23	2760
116	81	52	30	22	4324
117	101	12	12	0	4616
118	85	43	40	3	2555
119	99	12	11	1	3043
120	89	34	30	4	2556
121	111	34	40	6	2071
122	119	52	50	2	2071
123	85	43	30	13	1877
124	81	52	50	2	2376
125	95	21	30	9	2349
126	107	25	30	5	3917
127	117	47	40	7	2601
128	101	12	12	0	3783
129	115	43	40	3	3525
130	89	34	30	4	1869
131	93	25	32	7	3049
132	83	47	40	7	2127
133	113	39	40	1	1857
134	105	21	30	9	1795
135	109	30	30	0	1977
136	97	17	12	5	2530
137	91	30	30	0	5286
138	103	17	30	13	3659
139	87	39	40	1	3425
140	99	12	12	0	2482
141	103	17	20	3	2080
142	91	30	30	0	1941
143	107	25	40	15	1778
144	87	39	33	6	3891
145	89	34	30	4	2203
146	113	39	40	1	2093
147	119	52	50	2	2934
148	105	21	24	3	4047
149	83	47	40	7	1826
150	111	34	40	6	1770
151	109	30	32	2	2659
152	95	21	20	1	2783
153	117	47	40	7	1495
154	85	43	43	0	4544
155	101	12	12	0	1956
156	93	25	30	5	3990
157	115	43	40	3	1661
158	99	12	12	0	2871
159	81	52	50	2	1819
160	97	17	14	3	3981
161	91	30	30	0	2202
162	93	25	33	8	3633
163	107	25	20	5	2259
164	99	12	12	0	1652
165	89	34	30	4	1893
166	113	39	36	3	4103
167	85	43	44	1	4297
168	83	47	41	6	2363
169	97	17	15	2	3232
170	105	21	20	1	2822
171	103	17	18	1	2710
172	109	30	30	0	1736
173	87	39	32	7	4816
174	95	21	20	1	5457
175	119	52	50	2	2849
176	81	52	50	2	2412
177	101	12	12	0	2247
178	115	43	30	13	1987
179	111	34	13	21	4992
180	117	47	50	3	3265
181	107	25	40	15	4810
182	109	30	33	3	2455
183	95	21	30	9	2934
184	91	30	30	0	1512
185	81	52	50	2	1855
186	113	39	40	1	3134
187	99	12	12	0	2296
188	85	43	40	3	2022
189	115	43	44	1	4326
190	119	52	50	2	2281
191	87	39	33	6	2598
192	117	47	44	3	2685
193	103	17	16	1	3048
194	93	25	18	7	2673
195	83	47	47	0	3231
196	97	17	15	2	4273
197	89	34	30	4	1837
198	105	21	33	12	3639
199	101	12	12	0	1598
200	111	34	30	4	3354
1	53	113	40	73	9650
2	79	56	50	6	3623
3	137	91	62	29	7505
4	133	83	55	28	4144
5	141	100	57	43	6312
6	114	41	40	1	3048
7	73	69	53	16	3859
8	51	118	50	68	2711
9	125	65	50	15	3321
10	100	10	12	2	2274
11	143	105	60	45	2328
12	75	65	60	5	2564
13	84	45	52	7	4803
14	61	96	52	44	3363
15	127	69	60	9	2090
16	65	87	50	37	3472
17	57	105	60	45	2159
18	71	74	80	6	4258
19	135	87	60	27	2243
20	67	83	70	13	2496
21	108	28	30	2	4122
22	145	109	60	49	1937
23	59	100	60	40	1808
24	69	78	50	28	1647
25	120	54	40	14	3509
26	77	61	53	8	3672
27	149	118	90	28	3430
28	55	109	60	49	1998
29	139	96	60	36	1760
30	129	74	40	34	2764
31	123	61	43	18	4435
32	131	78	70	8	1869
33	63	91	60	31	2043
34	147	113	80	33	1930
35	121	56	40	16	2384
36	92	28	30	2	1731
