Participant 314_training	; Experiment run on 2018-06-21T10:01:54.284000
Trial	Input	Output	Predict	Error	RT
1	107	25	103	78	18843
2	91	30	12	18	7973
3	83	47	24	23	12681
4	111	34	55	21	14041
5	93	25	28	3	17892
6	117	47	20	27	9245
7	87	39	20	19	11395
8	105	21	50	29	5830
9	95	21	23	2	8629
10	109	30	27	3	11074
11	85	43	40	3	10893
12	101	12	25	13	7644
13	97	17	25	8	8492
14	115	43	20	23	4734
15	81	52	24	28	12005
16	119	52	20	32	11592
17	89	34	30	4	5203
18	103	17	22	5	8029
19	99	12	20	8	4400
20	113	39	43	4	7085
21	81	52	40	12	5075
22	99	12	38	26	4792
23	83	47	45	2	5568
24	93	25	30	5	4934
25	101	12	45	33	6463
26	105	21	16	5	8397
27	85	43	32	11	7208
28	119	52	40	12	10023
29	117	47	21	26	9875
30	115	43	21	22	4405
31	111	34	11	23	6886
32	103	17	23	6	5264
33	91	30	30	0	2816
34	97	17	23	6	6439
35	113	39	40	1	10144
36	87	39	31	8	8859
37	95	21	36	15	4800
38	107	25	43	18	5488
39	109	30	40	10	10927
40	89	34	30	4	4050
41	101	12	20	8	6035
42	93	25	32	7	8624
43	91	30	28	2	4395
44	99	12	15	3	10159
45	103	17	21	4	5380
46	115	43	43	0	4246
47	81	52	41	11	5540
48	119	52	41	11	3188
49	97	17	15	2	10955
50	107	25	15	10	8086
51	85	43	44	1	6969
52	105	21	13	8	5389
53	111	34	13	21	3696
54	109	30	25	5	7905
55	89	34	30	4	2869
56	113	39	35	4	11418
57	117	47	42	5	6475
58	95	21	20	1	7143
59	83	47	41	6	7889
60	87	39	44	5	4527
61	83	47	42	5	13983
62	99	12	10	2	2741
63	107	25	13	12	3902
64	85	43	45	2	10740
65	103	17	12	5	5073
66	113	39	30	9	9775
67	97	17	21	4	7550
68	111	34	28	6	5773
69	119	52	40	12	2761
70	95	21	25	4	5907
71	101	12	11	1	3020
72	91	30	28	2	4443
73	117	47	43	4	7289
74	93	25	28	3	7160
75	87	39	36	3	9470
76	115	43	36	7	7365
77	89	34	30	4	2135
78	109	30	30	0	14911
79	81	52	41	11	6499
80	105	21	30	9	10791
81	107	25	30	5	8628
82	97	17	31	14	5370
83	91	30	30	0	2784
84	117	47	20	27	6627
85	101	12	10	2	4436
86	85	43	43	0	10152
87	119	52	40	12	4718
88	105	21	13	8	5185
89	99	12	12	0	2862
90	93	25	32	7	4575
91	103	17	11	6	16830
92	111	34	20	14	5346
93	113	39	29	10	10920
94	89	34	30	4	2173
95	87	39	44	5	5852
96	83	47	42	5	5341
97	109	30	17	13	11208
98	115	43	40	3	4132
99	95	21	23	2	6968
100	81	52	40	12	2896
101	93	25	33	8	6524
102	109	30	30	0	2820
103	119	52	40	12	2229
104	105	21	13	8	5810
105	87	39	36	3	6802
106	97	17	24	7	5516
107	83	47	47	0	9106
108	107	25	20	5	8565
109	113	39	28	11	4933
110	117	47	42	5	6214
111	103	17	12	5	6696
112	115	43	16	27	5118
113	95	21	26	5	6711
114	91	30	30	0	2092
115	111	34	30	4	10149
116	81	52	40	12	3188
117	101	12	10	2	3391
118	85	43	43	0	7360
119	99	12	12	0	10167
120	89	34	30	4	2248
121	111	34	30	4	3572
122	119	52	42	10	4824
123	85	43	37	6	5534
124	81	52	45	7	6236
125	95	21	35	14	6393
126	107	25	19	6	14897
127	117	47	22	25	6530
128	101	12	12	0	6870
129	115	43	35	8	15552
130	89	34	30	4	2476
131	93	25	30	5	2887
132	83	47	46	1	6841
133	113	39	41	2	10580
134	105	21	21	0	6493
135	109	30	25	5	8806
136	97	17	34	17	6218
137	91	30	34	4	4697
138	103	17	23	6	13623
139	87	39	35	4	10685
140	99	12	12	0	3702
141	103	17	21	4	7628
142	91	30	34	4	3155
143	107	25	24	1	7577
144	87	39	36	3	9558
145	89	34	32	2	6690
146	113	39	41	2	5515
147	119	52	40	12	2070
148	105	21	21	0	6044
149	83	47	40	7	5369
150	111	34	15	19	7842
151	109	30	30	0	3471
152	95	21	21	0	9661
153	117	47	44	3	6604
154	85	43	49	6	4931
155	101	12	12	0	3094
156	93	25	35	10	6159
157	115	43	21	22	7610
158	99	12	12	0	4480
159	81	52	40	12	2363
160	97	17	37	20	6379
161	91	30	34	4	7901
162	93	25	25	0	7515
163	107	25	40	15	3652
164	99	12	12	0	4693
165	89	34	30	4	2256
166	113	39	41	2	5522
167	85	43	41	2	4009
168	83	47	38	9	4854
169	97	17	23	6	7479
170	105	21	40	19	3095
171	103	17	25	8	6775
172	109	30	30	0	3876
173	87	39	45	6	5601
174	95	21	25	4	5280
175	119	52	50	2	3806
176	81	52	51	1	3469
177	101	12	12	0	2444
178	115	43	38	5	15944
179	111	34	30	4	2853
180	117	47	47	0	3960
181	107	25	23	2	21180
182	109	30	30	0	2364
183	95	21	17	4	9949
184	91	30	30	0	4075
185	81	52	52	0	4272
186	113	39	33	6	12478
187	99	12	12	0	3018
188	85	43	43	0	6436
189	115	43	42	1	7271
190	119	52	52	0	3840
191	87	39	33	6	8332
192	117	47	42	5	6917
193	103	17	24	7	6370
194	93	25	24	1	7251
195	83	47	42	5	3820
196	97	17	25	8	4786
197	89	34	30	4	4120
198	105	21	16	5	10498
199	101	12	12	0	3576
200	111	34	30	4	3331
1	53	113	10	103	37935
2	79	56	52	4	9845
3	137	91	59	32	14292
4	133	83	53	30	6621
5	141	100	77	23	8234
6	114	41	32	9	6526
7	73	69	45	24	8102
8	51	118	21	97	5863
9	125	65	56	9	4992
10	100	10	12	2	3037
11	143	105	75	30	6941
12	75	65	42	23	5544
13	84	45	46	1	7691
14	61	96	30	66	2846
15	127	69	56	13	4849
16	65	87	34	53	6137
17	57	105	25	80	5489
18	71	74	34	40	6963
19	135	87	63	24	6489
20	67	83	35	48	12348
21	108	28	28	0	7741
22	145	109	68	41	6574
23	59	100	25	75	7994
24	69	78	34	44	4682
25	120	54	52	2	4285
26	77	61	53	8	36034
27	149	118	23	95	8632
28	55	109	42	67	6137
29	139	96	67	29	13730
30	129	74	60	14	4899
31	123	61	55	6	4648
32	131	78	53	25	4041
33	63	91	25	66	5223
34	147	113	65	48	5927
35	121	56	52	4	4289
36	92	28	34	6	4914
