Participant 234_training	; Experiment run on 2017-09-28T15:53:33.012183
Trial	Input	Output	Predict	Error	RT
1	107	25	140	115	25283
2	91	30	20	10	10646
3	83	47	28	19	91377
4	111	34	30	4	13630
5	93	25	33	8	28861
6	117	47	40	7	18859
7	87	39	25	14	28194
8	105	21	30	9	11085
9	95	21	10	11	16775
10	109	30	34	4	11628
11	85	43	34	9	12194
12	101	12	33	21	11879
13	97	17	7	10	12228
14	115	43	20	23	16415
15	81	52	20	32	9247
16	119	52	40	12	14336
17	89	34	50	16	9045
18	103	17	33	16	13188
19	99	12	20	8	10342
20	113	39	10	29	12755
21	81	52	30	22	9332
22	99	12	20	8	5295
23	83	47	30	17	9858
24	93	25	32	7	11723
25	101	12	12	0	9006
26	105	21	10	11	4456
27	85	43	42	1	8408
28	119	52	7	45	16831
29	117	47	42	5	11275
30	115	43	42	1	9567
31	111	34	40	6	7152
32	103	17	32	15	19831
33	91	30	40	10	9690
34	97	17	26	9	14317
35	113	39	17	22	18864
36	87	39	26	13	28037
37	95	21	40	19	14407
38	107	25	38	13	10822
39	109	30	40	10	8275
40	89	34	30	4	3940
41	101	12	40	28	5285
42	93	25	12	13	7072
43	91	30	30	0	5882
44	99	12	10	2	3744
45	103	17	24	7	7441
46	115	43	40	3	5550
47	81	52	50	2	9234
48	119	52	12	40	4609
49	97	17	25	8	17012
50	107	25	20	5	7564
51	85	43	35	8	14187
52	105	21	32	11	7777
53	111	34	30	4	3322
54	109	30	32	2	5173
55	89	34	30	4	3964
56	113	39	34	5	9285
57	117	47	24	23	14646
58	95	21	24	3	13848
59	83	47	45	2	10288
60	87	39	48	9	9833
61	83	47	39	8	14611
62	99	12	30	18	7976
63	107	25	22	3	12738
64	85	43	35	8	19842
65	103	17	12	5	7461
66	113	39	18	21	9101
67	97	17	20	3	5900
68	111	34	30	4	7178
69	119	52	32	20	8715
70	95	21	34	13	17103
71	101	12	10	2	4726
72	91	30	30	0	9749
73	117	47	46	1	12506
74	93	25	20	5	10006
75	87	39	34	5	11417
76	115	43	52	9	13668
77	89	34	34	0	7274
78	109	30	30	0	6045
79	81	52	40	12	7142
80	105	21	44	23	12971
81	107	25	17	8	10148
82	97	17	18	1	6966
83	91	30	34	4	7421
84	117	47	42	5	15693
85	101	12	12	0	5476
86	85	43	20	23	4887
87	119	52	20	32	14223
88	105	21	20	1	14579
89	99	12	10	2	4549
90	93	25	24	1	11350
91	103	17	34	17	10360
92	111	34	30	4	5990
93	113	39	40	1	3949
94	89	34	30	4	4812
95	87	39	28	11	6654
96	83	47	45	2	10566
97	109	30	34	4	8633
98	115	43	25	18	7944
99	95	21	42	21	15648
100	81	52	40	12	9274
101	93	25	52	27	15340
102	109	30	34	4	12979
103	119	52	40	12	6698
104	105	21	20	1	12267
105	87	39	36	3	14488
