Participant 291_training	; Experiment run on 2018-02-22T14:48:42.498380
Trial	Input	Output	Predict	Error	RT
1	107	25	180	155	8242
2	91	30	40	10	6950
3	83	47	40	7	8189
4	111	34	60	26	5087
5	93	25	40	15	4534
6	117	47	20	27	3858
7	87	39	45	6	10001
8	105	21	30	9	3407
9	95	21	30	9	2767
10	109	30	20	10	2134
11	85	43	40	3	6884
12	101	12	40	28	3892
13	97	17	30	13	7030
14	115	43	25	18	6470
15	81	52	50	2	4041
16	119	52	30	22	4582
17	89	34	40	6	3848
18	103	17	35	18	8356
19	99	12	40	28	6023
20	113	39	30	9	3436
21	81	52	60	8	5277
22	99	12	50	38	3141
23	83	47	50	3	2811
24	93	25	40	15	6320
25	101	12	20	8	4083
26	105	21	40	19	4882
27	85	43	50	7	4309
28	119	52	20	32	4339
29	117	47	40	7	3249
30	115	43	40	3	11822
31	111	34	46	12	5024
32	103	17	40	23	3489
33	91	30	30	0	4056
34	97	17	30	13	4472
35	113	39	50	11	4906
36	87	39	20	19	2174
37	95	21	30	9	4141
38	107	25	40	15	4628
39	109	30	40	10	2672
40	89	34	27	7	5186
41	101	12	30	18	3814
42	93	25	20	5	2329
43	91	30	20	10	3113
44	99	12	20	8	2264
45	103	17	20	3	3851
46	115	43	10	33	3737
47	81	52	60	8	7065
48	119	52	10	42	3034
49	97	17	40	23	3455
50	107	25	40	15	3043
51	85	43	30	13	3219
52	105	21	30	9	2186
53	111	34	20	14	2106
54	109	30	30	0	2154
55	89	34	50	16	3332
56	113	39	40	1	2512
57	117	47	30	17	6163
58	95	21	50	29	6053
59	83	47	40	7	2829
60	87	39	30	9	2126
61	83	47	50	3	4198
62	99	12	40	28	2771
63	107	25	36	11	4968
64	85	43	60	17	2634
65	103	17	30	13	1819
66	113	39	30	9	1708
67	97	17	50	33	2049
68	111	34	30	4	1688
69	119	52	28	24	4744
70	95	21	50	29	2396
71	101	12	30	18	1877
72	91	30	40	10	3121
73	117	47	20	27	2711
74	93	25	60	35	1913
75	87	39	30	9	1956
76	115	43	30	13	2652
77	89	34	50	16	1610
78	109	30	50	20	1607
79	81	52	50	2	1807
80	105	21	30	9	1839
81	107	25	40	15	2975
82	97	17	50	33	1897
83	91	30	30	0	3925
84	117	47	40	7	2607
85	101	12	36	24	5893
86	85	43	20	23	5231
87	119	52	20	32	2899
88	105	21	40	19	2595
89	99	12	30	18	2467
90	93	25	20	5	2695
91	103	17	30	13	3238
92	111	34	30	4	2589
93	113	39	30	9	2633
94	89	34	40	6	2062
95	87	39	39	0	3005
96	83	47	40	7	2311
97	109	30	30	0	1795
98	115	43	30	13	1748
99	95	21	40	19	1910
100	81	52	40	12	1971
101	93	25	40	15	3822
102	109	30	30	0	2370
103	119	52	20	32	1701
104	105	21	30	9	1409
105	87	39	50	11	2019
106	97	17	30	13	1752
107	83	47	40	7	1682
108	107	25	30	5	1748
109	113	39	23	16	3432
110	117	47	20	27	1818
111	103	17	40	23	1641
112	115	43	30	13	2276
113	95	21	50	29	1660
114	91	30	20	10	1644
115	111	34	20	14	1863
116	81	52	50	2	1697
117	101	12	20	8	1431
118	85	43	40	3	1490
119	99	12	30	18	1375
120	89	34	40	6	1536
121	111	34	40	6	2222
122	119	52	30	22	1744
123	85	43	60	17	2188
124	81	52	50	2	2866
125	95	21	44	23	3483
126	107	25	30	5	1902
127	117	47	27	20	3363
128	101	12	40	28	4029
129	115	43	20	23	6375
130	89	34	60	26	8430
131	93	25	30	5	3980
132	83	47	30	17	2662
133	113	39	40	1	2757
134	105	21	43	22	2875
135	109	30	44	14	3564
136	97	17	40	23	1690
137	91	30	40	10	1540
138	103	17	30	13	1259
139	87	39	40	1	1450
140	99	12	30	18	1207
141	103	17	40	23	1966
142	91	30	30	0	1628
143	107	25	20	5	1913
144	87	39	30	9	1756
145	89	34	30	4	1709
146	113	39	20	19	1532
147	119	52	20	32	1559
148	105	21	30	9	1949
149	83	47	40	7	3015
150	111	34	20	14	1549
151	109	30	30	0	2202
152	95	21	28	7	3999
153	117	47	20	27	1497
154	85	43	30	13	3351
155	101	12	25	13	4326
156	93	25	30	5	2539
157	115	43	30	13	2579
158	99	12	30	18	1455
159	81	52	40	12	1785
160	97	17	30	13	1636
161	91	30	40	10	2510
162	93	25	30	5	1505
163	107	25	20	5	2475
164	99	12	25	13	4420
165	89	34	30	4	1826
166	113	39	20	19	1560
167	85	43	35	8	3959
168	83	47	34	13	3247
169	97	17	24	7	3541
170	105	21	20	1	3026
171	103	17	24	7	3279
172	109	30	30	0	2209
173	87	39	32	7	3252
174	95	21	20	1	2191
175	119	52	20	32	2170
176	81	52	20	32	2097
177	101	12	40	28	3015
178	115	43	40	3	4419
179	111	34	50	16	7777
180	117	47	50	3	2791
181	107	25	40	15	4382
182	109	30	40	10	1966
183	95	21	40	19	2751
184	91	30	30	0	1948
185	81	52	50	2	4327
186	113	39	30	9	2635
187	99	12	40	28	3181
188	85	43	40	3	3061
189	115	43	40	3	4242
190	119	52	50	2	2484
191	87	39	30	9	2101
192	117	47	50	3	2496
193	103	17	20	3	1820
194	93	25	30	5	1503
195	83	47	50	3	2304
196	97	17	20	3	1749
197	89	34	30	4	1898
198	105	21	20	1	4745
199	101	12	20	8	1714
200	111	34	30	4	2711
1	53	113	80	33	15258
2	79	56	50	6	3578
3	137	91	40	51	3630
4	133	83	40	43	2528
5	141	100	30	70	2181
6	114	41	30	11	5834
7	73	69	60	9	5288
8	51	118	80	38	5025
9	125	65	50	15	4374
10	100	10	40	30	4877
11	143	105	40	65	3963
12	75	65	80	15	5178
13	84	45	90	45	4214
14	61	96	110	14	2401
15	127	69	50	19	5452
16	65	87	110	23	2448
17	57	105	100	5	2426
18	71	74	120	46	2994
19	135	87	70	17	3639
20	67	83	120	37	2348
21	108	28	30	2	2369
22	145	109	20	89	4216
23	59	100	100	0	1996
24	69	78	80	2	3000
25	120	54	20	34	1336
26	77	61	90	29	2818
27	149	118	30	88	2922
28	55	109	100	9	2161
29	139	96	30	66	1300
30	129	74	30	44	1781
31	123	61	30	31	2636
32	131	78	20	58	2575
33	63	91	90	1	1825
34	147	113	20	93	2585
35	121	56	40	16	3673
36	92	28	70	42	2145
