Participant 209_training	; Experiment run on 2017-09-08T12:48:57.486820
Trial	Input	Output	Predict	Error	RT
1	107	25	53	28	17945
2	91	30	23	7	22098
3	83	47	21	26	35905
4	111	34	55	21	12902
5	93	25	33	8	24831
6	117	47	52	5	20507
7	87	39	44	5	15619
8	105	21	47	26	15538
9	95	21	40	19	9211
10	109	30	45	15	10465
11	85	43	22	21	7284
12	101	12	50	38	16384
13	97	17	49	32	14174
14	115	43	45	2	13101
15	81	52	40	12	10093
16	119	52	40	12	10129
17	89	34	29	5	5927
18	103	17	32	15	11644
19	99	12	27	15	8427
20	113	39	40	1	4732
21	81	52	38	14	11115
22	99	12	50	38	5947
23	83	47	26	21	10128
24	93	25	45	20	5292
25	101	12	30	18	3506
26	105	21	12	9	15058
27	85	43	30	13	3662
28	119	52	40	12	6329
29	117	47	48	1	15193
30	115	43	66	23	9019
31	111	34	35	1	6920
32	103	17	32	15	10283
33	91	30	37	7	14766
34	97	17	46	29	5774
35	113	39	30	9	10556
36	87	39	33	6	10055
37	95	21	39	18	10067
38	107	25	28	3	7502
39	109	30	20	10	6624
40	89	34	30	4	7089
41	101	12	33	21	14052
42	93	25	23	2	6398
43	91	30	25	5	6072
44	99	12	29	17	10163
45	103	17	22	5	15059
46	115	43	28	15	26043
47	81	52	31	21	16413
48	119	52	30	22	5761
49	97	17	30	13	3515
50	107	25	38	13	5188
51	85	43	50	7	3984
52	105	21	30	9	1899
53	111	34	35	1	8754
54	109	30	27	3	6677
55	89	34	30	4	7115
56	113	39	40	1	6302
57	117	47	46	1	4532
58	95	21	36	15	4114
59	83	47	20	27	5797
60	87	39	30	9	2838
61	83	47	40	7	6084
62	99	12	50	38	2557
63	107	25	25	0	6424
64	85	43	42	1	6983
65	103	17	25	8	7906
66	113	39	30	9	4353
67	97	17	30	13	4231
68	111	34	20	14	2601
69	119	52	45	7	4136
70	95	21	30	9	5273
71	101	12	28	16	4434
72	91	30	22	8	3327
73	117	47	38	9	4150
74	93	25	30	5	6591
75	87	39	34	5	3434
76	115	43	29	14	4463
77	89	34	25	9	5733
78	109	30	35	5	8150
79	81	52	25	27	4629
80	105	21	40	19	8100
81	107	25	40	15	2564
82	97	17	20	3	1776
83	91	30	20	10	1863
84	117	47	36	11	15861
85	101	12	33	21	3578
86	85	43	24	19	10361
87	119	52	30	22	4962
88	105	21	30	9	1499
89	99	12	20	8	1582
90	93	25	30	5	7927
91	103	17	36	19	2945
92	111	34	20	14	1869
93	113	39	30	9	5866
94	89	34	30	4	1781
95	87	39	30	9	1804
96	83	47	26	21	3399
97	109	30	30	0	2631
98	115	43	24	19	17562
99	95	21	20	1	1559
100	81	52	12	40	12898
101	93	25	30	5	5011
102	109	30	40	10	1495
103	119	52	32	20	2774
104	105	21	35	14	7154
105	87	39	20	19	3997
106	97	17	30	13	2122
107	83	47	20	27	3026
108	107	25	25	0	3905
109	113	39	20	19	4012
110	117	47	35	12	4402
111	103	17	40	23	3590
112	115	43	30	13	6707
113	95	21	55	34	6626
114	91	30	30	0	2145
115	111	34	22	12	8972
116	81	52	30	22	2100
117	101	12	51	39	4688
118	85	43	40	3	2147
119	99	12	20	8	2529
120	89	34	30	4	6738
121	111	34	40	6	1756
122	119	52	30	22	2155
123	85	43	30	13	3354
124	81	52	30	22	2050
125	95	21	70	49	9421
126	107	25	70	45	5603
127	117	47	25	22	2907
128	101	12	40	28	1504
129	115	43	22	21	2100
130	89	34	20	14	1657
131	93	25	46	21	3741
132	83	47	22	25	4644
133	113	39	30	9	3637
134	105	21	52	31	6268
135	109	30	56	26	4309
136	97	17	24	7	10038
137	91	30	22	8	9010
138	103	17	30	13	9547
139	87	39	40	1	3162
140	99	12	20	8	2178
141	103	17	50	33	1515
142	91	30	20	10	1466
143	107	25	20	5	6056
144	87	39	25	14	6159
145	89	34	28	6	3285
146	113	39	24	15	3391
147	119	52	30	22	3500
148	105	21	40	19	2817
149	83	47	30	17	1471
150	111	34	30	4	2872
151	109	30	20	10	1546
152	95	21	30	9	2144
153	117	47	20	27	1528
154	85	43	40	3	2040
155	101	12	25	13	5253
156	93	25	30	5	2564
157	115	43	35	8	8381
158	99	12	25	13	4275
159	81	52	20	32	1108
160	97	17	34	17	6138
161	91	30	30	0	1227
162	93	25	20	5	2639
163	107	25	44	19	4922
164	99	12	40	28	1973
165	89	34	20	14	985
166	113	39	30	9	2014
167	85	43	40	3	4442
168	83	47	50	3	2178
169	97	17	20	3	5872
170	105	21	20	1	2052
171	103	17	40	23	3693
172	109	30	25	5	3942
173	87	39	50	11	2586
174	95	21	30	9	1896
175	119	52	30	22	1359
176	81	52	50	2	2358
177	101	12	20	8	2041
178	115	43	10	33	1261
179	111	34	20	14	1824
180	117	47	30	17	2146
181	107	25	20	5	1532
182	109	30	20	10	1013
183	95	21	20	1	2007
184	91	30	30	0	3275
185	81	52	52	0	7285
186	113	39	30	9	4459
187	99	12	30	18	1348
188	85	43	40	3	2764
189	115	43	20	23	2186
190	119	52	35	17	6165
191	87	39	20	19	4145
192	117	47	40	7	3071
193	103	17	20	3	2555
194	93	25	40	15	2046
195	83	47	40	7	1533
196	97	17	30	13	3940
