Participant 233_training	; Experiment run on 2017-09-28T14:49:26.491347
Trial	Input	Output	Predict	Error	RT
1	107	25	105	80	9515
2	91	30	45	15	5914
3	83	47	26	21	17646
4	111	34	60	26	5177
5	93	25	40	15	9501
6	117	47	37	10	5177
7	87	39	38	1	4434
8	105	21	36	15	10446
9	95	21	39	18	5116
10	109	30	25	5	5301
11	85	43	23	20	5292
12	101	12	34	22	8693
13	97	17	16	1	5413
14	115	43	37	6	10608
15	81	52	23	29	8482
16	119	52	37	15	7692
17	89	34	30	4	4151
18	103	17	33	16	7099
19	99	12	32	20	12289
20	113	39	36	3	9281
21	81	52	22	30	5548
22	99	12	50	38	4912
23	83	47	22	25	7650
24	93	25	38	13	7716
25	101	12	30	18	2716
26	105	21	28	7	6214
27	85	43	20	23	3197
28	119	52	40	12	2748
29	117	47	35	12	5282
30	115	43	35	8	11070
31	111	34	33	1	6678
32	103	17	31	14	6260
33	91	30	30	0	2996
34	97	17	33	16	4593
35	113	39	35	4	7271
36	87	39	27	12	4207
37	95	21	36	15	3993
38	107	25	33	8	3204
39	109	30	34	4	3992
40	89	34	30	4	2742
41	101	12	33	21	7799
42	93	25	32	7	4300
43	91	30	30	0	1880
44	99	12	33	21	5718
45	103	17	31	14	8597
46	115	43	35	8	7664
47	81	52	23	29	7678
48	119	52	20	32	4002
49	97	17	32	15	3056
50	107	25	40	15	5399
51	85	43	20	23	3317
52	105	21	47	26	5762
53	111	34	47	13	10788
54	109	30	45	15	6005
55	89	34	30	4	4664
56	113	39	50	11	4576
57	117	47	23	24	3895
58	95	21	32	11	5421
59	83	47	30	17	7075
60	87	39	28	11	3770
61	83	47	33	14	7418
62	99	12	23	11	4467
63	107	25	22	3	6436
64	85	43	27	16	4040
65	103	17	28	11	4364
66	113	39	22	17	6462
67	97	17	29	12	7341
68	111	34	22	12	3779
69	119	52	20	32	3356
70	95	21	28	7	4417
71	101	12	34	22	4419
72	91	30	30	0	3910
73	117	47	22	25	4693
74	93	25	28	3	4659
75	87	39	50	11	8058
76	115	43	14	29	3060
77	89	34	30	4	3308
78	109	30	25	5	3678
79	81	52	38	14	6640
80	105	21	22	1	4151
81	107	25	18	7	3927
82	97	17	28	11	4126
83	91	30	30	0	2534
84	117	47	28	19	4660
85	101	12	27	15	3697
86	85	43	45	2	3914
87	119	52	13	39	3489
88	105	21	30	9	3938
89	99	12	33	21	5694
90	93	25	28	3	5379
91	103	17	27	10	5708
92	111	34	20	14	3680
93	113	39	33	6	3670
94	89	34	30	4	2504
95	87	39	23	16	4140
96	83	47	45	2	4322
97	109	30	28	2	3623
98	115	43	24	19	9144
99	95	21	28	7	5111
100	81	52	44	8	4096
101	93	25	27	2	3707
102	109	30	30	0	6847
103	119	52	27	25	3047
104	105	21	39	18	3087
105	87	39	40	1	3135
106	97	17	28	11	2500
107	83	47	50	3	3623
108	107	25	20	5	4721
109	113	39	28	11	6127
110	117	47	20	27	3584
111	103	17	30	13	22778
112	115	43	20	23	2097
113	95	21	30	9	3621
114	91	30	30	0	1782
115	111	34	23	11	2526
116	81	52	50	2	2568
117	101	12	30	18	3101
118	85	43	50	7	2605
119	99	12	28	16	3326
120	89	34	30	4	2010
121	111	34	30	4	2615
122	119	52	20	32	2616
123	85	43	47	4	3309
124	81	52	48	4	7673
125	95	21	20	1	3040
126	107	25	28	3	3757
127	117	47	20	27	11808
128	101	12	28	16	7485
129	115	43	20	23	1546
130	89	34	30	4	2057
131	93	25	28	3	4158
132	83	47	46	1	3308
133	113	39	30	9	2143
134	105	21	30	9	2314
135	109	30	22	8	4639
136	97	17	28	11	3565
137	91	30	30	0	2019
138	103	17	28	11	6907
139	87	39	38	1	3052
140	99	12	28	16	2917
141	103	17	24	7	4440
142	91	30	30	0	1802
143	107	25	22	3	4322
144	87	39	36	3	3614
145	89	34	32	2	4794
146	113	39	21	18	4166
147	119	52	20	32	2016
148	105	21	20	1	2764
149	83	47	42	5	2637
150	111	34	27	7	3603
151	109	30	27	3	4179
152	95	21	27	6	5144
153	117	47	20	27	2370
154	85	43	47	4	2951
155	101	12	28	16	3874
156	93	25	28	3	3763
157	115	43	20	23	2034
158	99	12	27	15	6405
159	81	52	50	2	4557
160	97	17	30	13	2364
161	91	30	30	0	6608
162	93	25	28	3	2795
163	107	25	28	3	5011
164	99	12	27	15	3033
165	89	34	30	4	2408
166	113	39	20	19	2765
167	85	43	42	1	3391
168	83	47	42	5	5535
169	97	17	28	11	3130
170	105	21	29	8	6493
171	103	17	24	7	4307
172	109	30	22	8	5861
173	87	39	36	3	4645
174	95	21	28	7	4366
175	119	52	50	2	3346
176	81	52	50	2	3170
177	101	12	26	14	5842
178	115	43	50	7	5669
179	111	34	50	16	2507
180	117	47	43	4	3023
181	107	25	28	3	7071
182	109	30	28	2	2987
183	95	21	28	7	3506
184	91	30	29	1	3569
185	81	52	40	12	3155
186	113	39	49	10	3026
187	99	12	28	16	3189
188	85	43	43	0	4843
189	115	43	42	1	5591
190	119	52	50	2	3515
191	87	39	38	1	3285
192	117	47	44	3	4818
193	103	17	38	21	7186
194	93	25	28	3	3784
195	83	47	50	3	2375
196	97	17	25	8	8152
197	89	34	30	4	6962
198	105	21	24	3	6120
199	101	12	22	10	4293
200	111	34	22	12	3145
1	53	113	72	41	19265
2	79	56	44	12	5476
3	137	91	57	34	7539
4	133	83	53	30	4502
5	141	100	80	20	2771
6	114	41	42	1	5696
7	73	69	48	21	6636
8	51	118	10	108	10225
9	125	65	60	5	4965
10	100	10	25	15	4825
11	143	105	68	37	4237
12	75	65	38	27	6834
13	84	45	35	10	7028
14	61	96	10	86	8323
15	127	69	66	3	8786
16	65	87	16	71	7317
17	57	105	16	89	3507
18	71	74	55	19	5506
19	135	87	79	8	4435
20	67	83	15	68	6190
21	108	28	23	5	12268
22	145	109	67	42	3744
23	59	100	16	84	12882
24	69	78	58	20	6565
25	120	54	60	6	6853
26	77	61	66	5	4503
27	149	118	90	28	3158
28	55	109	12	97	4361
29	139	96	90	6	2434
30	129	74	70	4	5099
31	123	61	56	5	14046
32	131	78	58	20	3795
33	63	91	17	74	4945
34	147	113	80	33	6215
35	121	56	60	4	3537
36	92	28	28	0	4854
