Participant 306_training	; Experiment run on 2018-04-19T14:51:43.710921
Trial	Input	Output	Predict	Error	RT
1	107	25	107	82	12558
2	91	30	30	0	14387
3	83	47	25	22	17259
4	111	34	35	1	15476
5	93	25	50	25	15412
6	117	47	36	11	15889
7	87	39	27	12	6878
8	105	21	45	24	9261
9	95	21	33	12	5278
10	109	30	35	5	7386
11	85	43	26	17	7544
12	101	12	33	21	6534
13	97	17	32	15	16926
14	115	43	30	13	6721
15	81	52	22	30	5843
16	119	52	33	19	5005
17	89	34	33	1	3132
18	103	17	23	6	8416
19	99	12	24	12	8005
20	113	39	36	3	5348
21	81	52	60	8	10822
22	99	12	32	20	3511
23	83	47	45	2	5295
24	93	25	31	6	6854
25	101	12	34	22	4477
26	105	21	21	0	8542
27	85	43	36	7	8765
28	119	52	61	9	16459
29	117	47	48	1	6537
30	115	43	51	8	6032
31	111	34	43	9	6503
32	103	17	30	13	6581
33	91	30	32	2	4769
34	97	17	33	16	7438
35	113	39	44	5	6333
36	87	39	39	0	8560
37	95	21	32	11	7444
38	107	25	41	16	6583
39	109	30	42	12	3619
40	89	34	28	6	6403
41	101	12	43	31	4431
42	93	25	27	2	8341
43	91	30	25	5	3934
44	99	12	25	13	5472
45	103	17	23	6	3880
46	115	43	43	0	8456
47	81	52	44	8	4120
48	119	52	62	10	15319
49	97	17	13	4	4327
50	107	25	32	7	5211
51	85	43	40	3	5456
52	105	21	42	21	5225
53	111	34	33	1	3730
54	109	30	31	1	4063
55	89	34	29	5	4284
56	113	39	40	1	6161
57	117	47	45	2	5020
58	95	21	30	9	4720
59	83	47	40	7	4290
60	87	39	40	1	3603
61	83	47	45	2	9055
62	99	12	20	8	2713
63	107	25	23	2	4099
64	85	43	40	3	4961
65	103	17	25	8	3925
66	113	39	41	2	4704
67	97	17	23	6	5057
68	111	34	40	6	4230
69	119	52	43	9	3354
70	95	21	30	9	4623
71	101	12	18	6	3370
72	91	30	30	0	6003
73	117	47	49	2	6483
74	93	25	25	0	6706
75	87	39	35	4	7784
76	115	43	48	5	4520
77	89	34	30	4	7361
78	109	30	33	3	4893
79	81	52	52	0	9430
80	105	21	21	0	7553
81	107	25	27	2	13015
82	97	17	23	6	7356
83	91	30	29	1	6418
84	117	47	51	4	5784
85	101	12	12	0	4258
86	85	43	41	2	6269
87	119	52	51	1	2944
88	105	21	26	5	6239
89	99	12	12	0	3671
90	93	25	27	2	8010
91	103	17	22	5	8987
92	111	34	31	3	4822
93	113	39	27	12	6123
94	89	34	30	4	2847
95	87	39	40	1	6734
96	83	47	47	0	6383
97	109	30	41	11	5728
98	115	43	42	1	7188
99	95	21	23	2	8534
100	81	52	45	7	5480
101	93	25	27	2	11334
102	109	30	31	1	5253
103	119	52	52	0	3610
104	105	21	25	4	4738
105	87	39	37	2	8778
106	97	17	18	1	6478
107	83	47	41	6	6481
108	107	25	31	6	7257
109	113	39	37	2	6044
110	117	47	46	1	4707
111	103	17	17	0	9401
112	115	43	29	14	4473
113	95	21	28	7	5820
114	91	30	31	1	4040
115	111	34	38	4	8009
116	81	52	50	2	5392
117	101	12	13	1	3949
118	85	43	47	4	5654
119	99	12	11	1	4615
120	89	34	34	0	6791
121	111	34	37	3	14150
122	119	52	53	1	4704
123	85	43	40	3	9885
124	81	52	51	1	5710
125	95	21	23	2	8884
126	107	25	29	4	9758
127	117	47	49	2	6284
128	101	12	12	0	6010
129	115	43	46	3	6829
130	89	34	36	2	9466
131	93	25	26	1	9358
132	83	47	40	7	8537
133	113	39	45	6	6695
134	105	21	21	0	10256
135	109	30	39	9	4665
136	97	17	15	2	7666
137	91	30	29	1	5257
138	103	17	20	3	6898
139	87	39	42	3	8581
140	99	12	12	0	3433
141	103	17	18	1	7272
142	91	30	30	0	3814
143	107	25	27	2	9382
144	87	39	40	1	8408
145	89	34	34	0	6858
146	113	39	40	1	8819
147	119	52	53	1	4662
148	105	21	42	21	8518
149	83	47	40	7	7969
150	111	34	40	6	9644
151	109	30	32	2	6144
152	95	21	22	1	9103
153	117	47	49	2	7427
154	85	43	41	2	13031
155	101	12	14	2	9986
156	93	25	22	3	17119
157	115	43	45	2	7098
158	99	12	12	0	4129
159	81	52	53	1	5676
160	97	17	17	0	8535
161	91	30	34	4	5446
162	93	25	24	1	9148
163	107	25	27	2	7671
164	99	12	12	0	3502
165	89	34	34	0	3525
166	113	39	43	4	8555
167	85	43	40	3	5239
168	83	47	47	0	10161
169	97	17	16	1	6803
170	105	21	21	0	7167
171	103	17	17	0	4171
172	109	30	27	3	6737
173	87	39	40	1	13423
174	95	21	18	3	10535
175	119	52	52	0	3158
176	81	52	52	0	3360
177	101	12	12	0	3750
178	115	43	45	2	10635
179	111	34	32	2	12468
180	117	47	47	0	5750
181	107	25	27	2	11879
182	109	30	33	3	11057
183	95	21	17	4	7001
184	91	30	30	0	6414
185	81	52	52	0	3461
186	113	39	43	4	6785
187	99	12	12	0	3566
188	85	43	41	2	10348
189	115	43	42	1	6495
190	119	52	52	0	2979
191	87	39	40	1	8465
192	117	47	44	3	6110
193	103	17	17	0	8714
194	93	25	24	1	10764
195	83	47	45	2	6209
196	97	17	14	3	11623
197	89	34	34	0	3258
198	105	21	22	1	9234
199	101	12	12	0	5556
200	111	34	31	3	9379
1	53	113	100	13	38587
2	79	56	52	4	6580
3	137	91	100	9	15385
4	133	83	87	4	7000
5	141	100	103	3	5888
6	114	41	43	2	12687
7	73	69	85	16	7561
8	51	118	101	17	4664
9	125	65	75	10	18005
10	100	10	12	2	2431
11	143	105	107	2	8076
12	75	65	66	1	6367
13	84	45	43	2	4502
14	61	96	86	10	10621
15	127	69	72	3	5029
16	65	87	83	4	5551
17	57	105	95	10	4181
18	71	74	69	5	9085
19	135	87	120	33	3632
20	67	83	75	8	11326
21	108	28	27	1	9717
22	145	109	78	31	7199
23	59	100	80	20	9354
24	69	78	74	4	7938
25	120	54	52	2	4067
26	77	61	57	4	6475
27	149	118	85	33	4807
28	55	109	96	13	9762
29	139	96	81	15	4415
30	129	74	73	1	5969
31	123	61	57	4	4739
32	131	78	60	18	4291
33	63	91	67	24	6319
34	147	113	82	31	5036
35	121	56	52	4	5442
36	92	28	27	1	8629
