Participant 248_training	; Experiment run on 2017-10-19T15:50:11.590716
Trial	Input	Output	Predict	Error	RT
1	107	25	107	82	16467
2	91	30	40	10	10193
3	83	47	20	27	8536
4	111	34	50	16	6252
5	93	25	20	5	7357
6	117	47	35	12	7391
7	87	39	24	15	10041
8	105	21	35	14	11663
9	95	21	25	4	8169
10	109	30	25	5	9441
11	85	43	45	2	6098
12	101	12	35	23	7962
13	97	17	30	13	4106
14	115	43	25	18	7169
15	81	52	20	32	6857
16	119	52	51	1	5284
17	89	34	30	4	9998
18	103	17	40	23	4728
19	99	12	30	18	4591
20	113	39	40	1	5890
21	81	52	41	11	15227
22	99	12	10	2	5475
23	83	47	35	12	14291
24	93	25	39	14	7200
25	101	12	12	0	3613
26	105	21	15	6	7378
27	85	43	35	8	6961
28	119	52	55	3	5611
29	117	47	20	27	9039
30	115	43	30	13	4724
31	111	34	33	1	6102
32	103	17	32	15	5805
33	91	30	40	10	8504
34	97	17	35	18	5524
35	113	39	40	1	4246
36	87	39	20	19	3175
37	95	21	40	19	4383
38	107	25	40	15	3574
39	109	30	40	10	8141
40	89	34	40	6	6977
41	101	12	20	8	8700
42	93	25	34	9	16288
43	91	30	32	2	10058
44	99	12	12	0	9294
45	103	17	31	14	4781
46	115	43	40	3	6373
47	81	52	20	32	4252
48	119	52	40	12	6869
49	97	17	30	13	3322
50	107	25	27	2	6700
51	85	43	20	23	4356
52	105	21	25	4	5721
53	111	34	31	3	5760
54	109	30	50	20	7251
55	89	34	30	4	4448
56	113	39	20	19	7427
57	117	47	50	3	6225
58	95	21	34	13	6623
59	83	47	50	3	6580
60	87	39	32	7	5860
61	83	47	50	3	9461
62	99	12	20	8	8308
63	107	25	22	3	5536
64	85	43	30	13	18176
65	103	17	12	5	5102
66	113	39	14	25	4390
67	97	17	21	4	8162
68	111	34	33	1	6612
69	119	52	53	1	6298
70	95	21	13	8	10576
71	101	12	12	0	4701
72	91	30	20	10	4547
73	117	47	10	37	5091
74	93	25	15	10	7011
75	87	39	25	14	6859
76	115	43	25	18	5822
77	89	34	30	4	7816
78	109	30	40	10	6188
79	81	52	40	12	4024
80	105	21	40	19	5475
81	107	25	20	5	19108
82	97	17	30	13	5512
83	91	30	33	3	5020
84	117	47	50	3	7058
85	101	12	25	13	10752
86	85	43	20	23	5254
87	119	52	50	2	8629
88	105	21	40	19	10080
89	99	12	40	28	4405
90	93	25	30	5	8843
91	103	17	23	6	5934
92	111	34	42	8	5893
93	113	39	20	19	3540
94	89	34	32	2	4723
95	87	39	50	11	12178
96	83	47	40	7	6809
97	109	30	21	9	4743
98	115	43	40	3	4535
99	95	21	25	4	4975
100	81	52	50	2	4820
101	93	25	20	5	3931
102	109	30	40	10	3673
103	119	52	50	2	4502
104	105	21	20	1	6570
105	87	39	40	1	4442
106	97	17	20	3	9674
107	83	47	40	7	9314
108	107	25	20	5	7077
109	113	39	50	11	2962
110	117	47	50	3	5256
111	103	17	20	3	3745
112	115	43	40	3	5174
113	95	21	20	1	3968
114	91	30	30	0	3386
115	111	34	50	16	6510
116	81	52	50	2	4366
117	101	12	12	0	4660
118	85	43	22	21	7234
119	99	12	12	0	7488
120	89	34	30	4	3630
121	111	34	20	14	13227
122	119	52	50	2	4372
123	85	43	34	9	6499
124	81	52	48	4	5623
125	95	21	24	3	4407
126	107	25	25	0	6232
127	117	47	51	4	8872
128	101	12	22	10	6643
129	115	43	22	21	7024
130	89	34	30	4	5256
131	93	25	20	5	5188
132	83	47	40	7	4625
133	113	39	50	11	3742
134	105	21	33	12	15940
135	109	30	40	10	4710
136	97	17	15	2	8802
137	91	30	30	0	4733
138	103	17	40	23	4684
139	87	39	20	19	3688
140	99	12	30	18	3508
141	103	17	40	23	5317
142	91	30	30	0	2723
143	107	25	50	25	8381
144	87	39	17	22	6828
145	89	34	30	4	2376
146	113	39	50	11	3288
147	119	52	52	0	3674
148	105	21	26	5	9036
149	83	47	40	7	7807
150	111	34	40	6	4802
151	109	30	50	20	3211
152	95	21	17	4	7073
153	117	47	50	3	3755
154	85	43	21	22	7106
155	101	12	12	0	5834
156	93	25	26	1	8393
157	115	43	40	3	8381
158	99	12	30	18	7788
159	81	52	50	2	3785
160	97	17	25	8	7167
161	91	30	30	0	3059
162	93	25	17	8	11564
163	107	25	32	7	5642
164	99	12	12	0	5444
165	89	34	30	4	3397
166	113	39	50	11	6880
167	85	43	40	3	6530
168	83	47	20	27	3601
169	97	17	20	3	5381
170	105	21	30	9	6658
171	103	17	40	23	5479
172	109	30	50	20	10061
173	87	39	25	14	5572
174	95	21	34	13	8211
175	119	52	52	0	3989
176	81	52	20	32	7700
177	101	12	12	0	5017
178	115	43	30	13	5521
179	111	34	40	6	7002
180	117	47	40	7	5380
181	107	25	30	5	7540
182	109	30	50	20	3230
183	95	21	27	6	8570
184	91	30	30	0	3053
185	81	52	50	2	3398
186	113	39	50	11	3267
187	99	12	12	0	3519
188	85	43	30	13	9461
189	115	43	40	3	7121
190	119	52	52	0	2964
191	87	39	41	2	7927
192	117	47	40	7	7250
193	103	17	40	23	7169
194	93	25	33	8	16460
195	83	47	20	27	5144
196	97	17	40	23	4958
197	89	34	30	4	2587
198	105	21	40	19	11558
199	101	12	12	0	4288
200	111	34	30	4	5271
1	53	113	60	53	11519
2	79	56	52	4	4622
3	137	91	60	31	6125
4	133	83	55	28	6378
5	141	100	60	40	8493
6	114	41	20	21	5903
7	73	69	54	15	6873
8	51	118	70	48	4686
9	125	65	52	13	7731
10	100	10	12	2	4176
11	143	105	70	35	5033
12	75	65	54	11	7480
13	84	45	47	2	10316
14	61	96	62	34	4843
15	127	69	52	17	4582
16	65	87	51	36	6013
17	57	105	70	35	5086
18	71	74	53	21	7176
19	135	87	60	27	5423
20	67	83	54	29	5160
21	108	28	40	12	11990
22	145	109	70	39	4949
23	59	100	54	46	3933
24	69	78	52	26	3856
25	120	54	52	2	3923
26	77	61	52	9	5357
27	149	118	60	58	3548
28	55	109	53	56	4257
29	139	96	64	32	6445
30	129	74	53	21	4138
31	123	61	52	9	4955
32	131	78	55	23	4353
33	63	91	60	31	6497
34	147	113	64	49	5957
35	121	56	52	4	4017
36	92	28	25	3	8683
